model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,refinement_name,refinement_reason,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,recent_fraction,decay_half_life_days
MostPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.4,0.29,0.0,session_popularity_refined,baseline comparison anchor,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::MostPop::{""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""baseline comparison anchor""}",success,,8.86,"{""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""baseline comparison anchor""}",2026-06-24T11:59:03,,
RecentPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.1,0.36,0.0,session_popularity_refined,relative recent window,0.2162,0.3916,0.1503,0.2068,0.1291,0.1523,"adressa_recbole_sample::RecentPop::{""recent_fraction"": 0.01, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.62,"{""recent_fraction"": 0.01, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T11:59:11,0.01,
RecentPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.03,0.42,0.0,session_popularity_refined,relative recent window,0.2097,0.3659,0.1449,0.196,0.1243,0.1457,"adressa_recbole_sample::RecentPop::{""recent_fraction"": 0.05, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.63,"{""recent_fraction"": 0.05, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T11:59:18,0.05,
RecentPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.17,0.41,0.0,session_popularity_refined,relative recent window,0.2386,0.3725,0.1599,0.2032,0.1347,0.1525,"adressa_recbole_sample::RecentPop::{""recent_fraction"": 0.1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.63,"{""recent_fraction"": 0.1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T11:59:26,0.1,
RecentPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.05,0.37,0.0,session_popularity_refined,relative recent window,0.2386,0.383,0.1661,0.2131,0.1424,0.1619,"adressa_recbole_sample::RecentPop::{""recent_fraction"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.77,"{""recent_fraction"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T11:59:34,0.25,
RecentPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.01,0.36,0.0,session_popularity_refined,relative recent window,0.2622,0.4046,0.1604,0.2058,0.1268,0.1451,"adressa_recbole_sample::RecentPop::{""recent_fraction"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",success,,7.36,"{""recent_fraction"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""relative recent window""}",2026-06-24T11:59:41,0.5,
DecayPop,adressa_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",6.13,"{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T11:59:47,,0.25
DecayPop,adressa_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",6.13,"{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T11:59:53,,0.5
DecayPop,adressa_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",6.12,"{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:00:00,,1.0
DecayPop,adressa_recbole_sample,cuda,,,,,,,session_popularity_refined,interpretable half-life decay,,,,,,,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",failed,"float() argument must be a string or a real number, not 'NoneType'",6.13,"{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T12:00:06,,3.0
