model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,status,error_message,runtime_seconds,config_json,logged_at,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,70.16,100.46,106.04,50.0,250.0,0.3952,0.4835,0.2851,0.3138,0.2486,0.2606,0.7488748874887489,109.16930395243092,success,,286.91,"{""vsknn_k"": 50, ""vsknn_sample_size"": 250}",2026-05-16T11:24:40,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,166.39,181.91,178.64,100.0,250.0,0.3989,0.495,0.2865,0.3177,0.2492,0.2622,0.703915391539154,111.24952920601608,success,,536.67,"{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",2026-05-16T11:33:37,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,75.17,124.88,116.08,,,0.4072,0.4988,0.2921,0.322,0.254,0.2665,0.8355535553555355,91.97116894018887,success,,324.49,"{""vstan_idf_weighting"": true, ""vstan_k"": 50, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-16T11:39:01,50.0,250.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,71.91,104.5,120.43,,,0.404,0.4965,0.2909,0.3209,0.2534,0.2658,0.7741224122412241,106.24337460650575,success,,305.17,"{""vstan_idf_weighting"": false, ""vstan_k"": 50, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-16T11:44:06,50.0,250.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,185.64,203.79,204.05,,,0.4141,0.515,0.2955,0.3283,0.2562,0.2699,0.7864536453645364,99.88805736271424,success,,606.23,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-16T11:54:13,100.0,250.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,131.53,196.09,197.9,,,0.4065,0.5073,0.2914,0.3242,0.2533,0.2669,0.7285328532853286,110.40884644980764,success,,534.16,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-16T12:03:07,100.0,250.0,0.1,False,,,,,,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,39.4,0.79,2.02,,,0.2074,0.2928,0.1388,0.1664,0.1163,0.1277,0.181998199819982,135.6265043721581,success,,48.66,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-16T12:03:56,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,77.45,0.82,2.44,,,0.3665,0.4695,0.2582,0.2917,0.2225,0.2363,0.6165616561656165,105.90981182231548,success,,87.18,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-16T12:05:23,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,46.46,0.77,2.33,,,0.2488,0.34,0.1681,0.1976,0.1416,0.1538,0.2954545454545454,124.6358405036726,success,,56.16,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-16T12:06:19,,,,,256.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,92.99,0.75,2.46,,,0.378,0.4813,0.2669,0.3005,0.2302,0.2442,0.6553555355535553,103.83641832808674,success,,103.37,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-16T12:08:02,,,,,256.0,0.001,0.2,1.0,CE,
