model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,status,error_message,runtime_seconds,config_json,logged_at,window_days,decay_lambda,embedding_size,learning_rate,train_neg_sample_args
MostPop,movielens_recbole,cuda,1,2048,2048,177.1,156.46,92.14,0.0001,0.0002,0.0,0.0,0.0,0.0001,0.0003744196495432,0.0,success,,493.6,{},2026-05-19T19:42:03,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,233.49,168.04,71.45,0.1101,0.1914,0.0325,0.0377,0.0628,0.0734,0.0052044331286505,28831.849634277543,success,,690.67,"{""window_days"": 7}",2026-05-19T19:53:34,7.0,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,163.07,135.52,67.35,0.1184,0.1957,0.0353,0.0394,0.0663,0.0762,0.0052418750936049,30862.868858353853,success,,558.45,"{""window_days"": 30}",2026-05-19T20:02:52,30.0,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,193.0,177.97,76.9,0.1216,0.2076,0.0366,0.0419,0.067,0.0779,0.0061030402875542,32402.63218935253,success,,705.57,"{""decay_lambda"": 1e-07}",2026-05-19T20:14:38,,1e-07,,,
MostPop,movielens_recbole,cuda,1,2048,2048,244.36,164.82,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0001,,,success,,480.64,{},2026-05-19T20:30:27,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,229.98,163.01,0.0,0.1101,0.1914,0.0325,0.0377,0.0628,0.0734,,,success,,567.32,"{""window_days"": 7}",2026-05-19T20:39:54,7.0,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,163.5,110.91,0.0,0.1184,0.1957,0.0353,0.0394,0.0663,0.0762,,,success,,434.06,"{""window_days"": 30}",2026-05-19T20:47:08,30.0,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,262.35,222.43,0.0,0.1216,0.2076,0.0366,0.0419,0.067,0.0779,,,success,,772.36,"{""decay_lambda"": 1e-07}",2026-05-19T21:00:01,,1e-07,,,
MostPop,movielens_recbole,cuda,1,2048,2048,194.85,194.86,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0001,,,success,,453.45,{},2026-05-20T08:22:04,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,231.21,181.52,0.0,0.1101,0.1914,0.0325,0.0377,0.0628,0.0734,,,success,,618.47,"{""window_days"": 7}",2026-05-20T08:32:22,7.0,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,222.18,143.46,0.0,0.1184,0.1957,0.0353,0.0394,0.0663,0.0762,,,success,,567.95,"{""window_days"": 30}",2026-05-20T08:41:50,30.0,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,184.98,152.72,0.0,0.1216,0.2076,0.0366,0.0419,0.067,0.0779,,,success,,702.7,"{""decay_lambda"": 1e-07}",2026-05-20T08:53:33,,1e-07,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,189.78,149.41,0.0,0.1176,0.1944,0.034,0.0382,0.0622,0.072,,,success,,657.12,"{""decay_lambda"": 1e-06}",2026-05-20T09:04:30,,1e-06,,,
BPR,movielens_recbole,cuda,10,2048,2048,1991.22,164.81,0.0,0.2245,0.334,0.071,0.0763,0.1267,0.1411,,,success,,2232.99,"{""embedding_size"": 64, ""epochs"": 10, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-20T09:41:43,,,64.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}"
MostPop,amazon_recbole,cuda,1,2048,2048,663.54,3243.16,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,,,success,,3944.25,{},2026-05-20T10:47:28,,,,,
RecentPop,amazon_recbole,cuda,1,2048,2048,731.11,3370.07,0.0,0.0007,0.0023,0.0003,0.0009,0.0002,0.0005,,,success,,4136.72,"{""window_days"": 7}",2026-05-20T11:56:24,7.0,,,,
RecentPop,amazon_recbole,cuda,1,2048,2048,645.92,3075.42,0.0,0.0023,0.0046,0.0012,0.002,0.0009,0.0012,,,success,,3762.9,"{""window_days"": 30}",2026-05-20T12:59:07,30.0,,,,
DecayPop,amazon_recbole,cuda,1,2048,2048,864.32,3314.24,0.0,0.0064,0.01,0.0034,0.0046,0.0025,0.003,,,success,,4229.62,"{""decay_lambda"": 1e-07}",2026-05-20T14:09:37,,1e-07,,,
DecayPop,amazon_recbole,cuda,1,2048,2048,730.77,3630.47,0.0,0.0008,0.0011,0.0005,0.0006,0.0005,0.0005,,,success,,4418.05,"{""decay_lambda"": 1e-06}",2026-05-20T15:23:15,,1e-06,,,
BPR,amazon_recbole,cuda,10,2048,2048,6523.31,3094.81,0.0,0.0332,0.0465,0.0246,0.0288,0.0219,0.0236,,,success,,9647.25,"{""embedding_size"": 64, ""epochs"": 10, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-20T18:04:02,,,64.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}"
