protocol_version,evaluated_split,final_test_id,selected_validation_run_id,scenario,dataset,model,device,selection_valid_mrr@10,refit_best_valid_score,refit_valid_hit@5,refit_valid_hit@10,refit_valid_ndcg@5,refit_valid_ndcg@10,refit_valid_mrr@5,refit_valid_mrr@10,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,unique_recommended_items@10,catalogue_size,recommendation_count,extra_metrics_runtime_seconds,runtime_seconds,config_json,status,error,seed,recommendation_frequency_gini@10,data_preparation_runtime_seconds,training_runtime_seconds,evaluation_runtime_seconds,checkpoint_path,source_file,execution_host,result_policy
validation_first_v6,test,validation_first_v6::test::session::adressa_recbole_sample::DecayPop::seed=42,"validation_first_v6::session::adressa_recbole_sample::DecayPop::{""decay_half_life_days"":0.25}",session,adressa_recbole_sample,DecayPop,cpu,0.1641,0.1641,0.2735,0.4329,0.1753,0.2266,0.143,0.1641,0.2622,0.4046,0.177,0.2231,0.1491,0.1682,0.002426006792819,7592.200006217746,10.0,4122.0,643320.0,0.13,8.67,"{""decay_half_life_days"":0.25}",success,,42.0,0.997573993207181,4.89,0.69,0.31,recbole_results\validation_first_workers\final_pc2\checkpoints\session\adressa_recbole_sample\DecayPop\seed_42\SessionDecayPopRecBole-Sep-01-2026_14-24-36.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::adressa_recbole_sample::GRU4Rec::seed=42,"validation_first_v6::session::adressa_recbole_sample::GRU4Rec::{""dropout_prob"":0.2,""epochs"":30,""eval_batch_size"":1024,""hidden_size"":256,""learning_rate"":0.003,""loss_type"":""CE"",""num_layers"":1,""train_batch_size"":2048,""train_neg_sample_args"":null}",session,adressa_recbole_sample,GRU4Rec,cpu,0.2613,0.2613,0.4127,0.5823,0.2818,0.3365,0.2388,0.2613,0.3849,0.5505,0.2611,0.3146,0.2205,0.2424,0.3568655992236778,5624.890499284959,1471.0,4122.0,643320.0,1.73,1283.32,"{""dropout_prob"":0.2,""epochs"":30,""eval_batch_size"":1024,""hidden_size"":256,""learning_rate"":0.003,""loss_type"":""CE"",""num_layers"":1,""train_batch_size"":2048,""train_neg_sample_args"":null}",success,,42.0,0.9896862717520404,5.22,1274.01,2.33,recbole_results\validation_first_workers\final_pc2\checkpoints\session\adressa_recbole_sample\GRU4Rec\seed_42\GRU4Rec-Sep-01-2026_14-24-43.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::adressa_recbole_sample::MostPop::seed=42,validation_first_v6::session::adressa_recbole_sample::MostPop::{},session,adressa_recbole_sample,MostPop,cpu,0.132,0.132,0.2483,0.3728,0.1492,0.1881,0.1168,0.132,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,0.002426006792819,8435.2,10.0,4122.0,643320.0,0.17,6.74,{},success,,42.0,0.997573993207181,5.28,0.78,0.5,recbole_results\validation_first_workers\final_pc2\checkpoints\session\adressa_recbole_sample\MostPop\seed_42\SessionMostPopRecBole-Sep-01-2026_14-46-06.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::adressa_recbole_sample::RecentPop::seed=42,"validation_first_v6::session::adressa_recbole_sample::RecentPop::{""recent_fraction"":0.5}",session,adressa_recbole_sample,RecentPop,cpu,0.151,0.151,0.2735,0.4329,0.1656,0.2167,0.1301,0.151,0.2622,0.4046,0.1604,0.2058,0.1268,0.1451,0.002426006792819,7592.2,10.0,4122.0,643320.0,0.18,7.0,"{""recent_fraction"":0.5}",success,,42.0,0.997573993207181,5.31,0.72,0.79,recbole_results\validation_first_workers\final_pc2\checkpoints\session\adressa_recbole_sample\RecentPop\seed_42\SessionRecentPopRecBole-Sep-01-2026_14-46-13.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::adressa_recbole_sample::VS-KNN::seed=42,"validation_first_v6::session::adressa_recbole_sample::VS-KNN::{""neighbor_size"":1500,""sample_size"":2500,""sampling"":""recent"",""score_weighting"":""div"",""session_weighting"":""log"",""similarity"":""vec""}",session,adressa_recbole_sample,VS-KNN,cpu,0.1631,0.1631,0.2938,0.4535,0.1795,0.2308,0.1422,0.1631,0.3046,0.4546,0.1936,0.2416,0.1572,0.1768,0.1921397379912663,7626.305272648137,792.0,4122.0,643320.0,300.24,825.69,"{""neighbor_size"":1500,""sample_size"":2500,""sampling"":""recent"",""score_weighting"":""div"",""session_weighting"":""log"",""similarity"":""vec""}",success,,42.0,0.9958544155178998,5.33,217.62,301.55,recbole_results\validation_first_workers\final_pc2\checkpoints\session\adressa_recbole_sample\VS-KNN\seed_42\VSKNN-Sep-01-2026_14-46-21.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v7_vstan_collapsed,test,validation_first_v7_vstan_collapsed::test::session::adressa_recbole_sample::VSTAN::seed=42,"validation_first_v7_vstan_collapsed::session::adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"":true,""vstan_k"":1500,""vstan_popularity_weight"":0.0,""vstan_position_decay"":0.05,""vstan_sample_size"":2500}",session,adressa_recbole_sample,VSTAN,cpu,0.1442,0.1442,0.2461,0.4378,0.1501,0.2117,0.119,0.1442,0.2818,0.4601,0.1753,0.2327,0.1407,0.1642,0.2302280446385249,6068.334396567804,949.0,4122.0,643320.0,3051.14,8284.65,"{""vstan_idf_weighting"":true,""vstan_k"":1500,""vstan_popularity_weight"":0.0,""vstan_position_decay"":0.05,""vstan_sample_size"":2500}",success,,42.0,0.9934918826744922,5.59,2192.6,3034.42,recbole_results\validation_first_workers\vstan_collapsed_v7\checkpoints\session\adressa_recbole_sample\VSTAN\seed_42\VSTANRecBole-Sep-03-2026_02-08-36.pth,recbole_results\validation_first_workers\vstan_collapsed_v7\final_test_results.csv,pc1_vstan,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::globo_recbole_sample::DecayPop::seed=42,"validation_first_v6::session::globo_recbole_sample::DecayPop::{""decay_half_life_days"":30.0}",session,globo_recbole_sample,DecayPop,cpu,0.0242,0.0242,0.0359,0.0607,0.0246,0.0325,0.021,0.0242,0.0359,0.0619,0.0233,0.0316,0.0192,0.0226,0.0005296049147336,1672.3,10.0,18882.0,702080.0,0.6,10.52,"{""decay_half_life_days"":30.0}",success,,42.0,0.9994703950852664,4.92,1.13,1.77,recbole_results\validation_first_workers\final_pc2\checkpoints\session\globo_recbole_sample\DecayPop\seed_42\SessionDecayPopRecBole-Sep-01-2026_17-53-11.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::globo_recbole_sample::GRU4Rec::seed=42,"validation_first_v6::session::globo_recbole_sample::GRU4Rec::{""dropout_prob"":0.1,""epochs"":20,""eval_batch_size"":1024,""hidden_size"":256,""learning_rate"":0.003,""loss_type"":""CE"",""num_layers"":1,""train_batch_size"":2048,""train_neg_sample_args"":null}",session,globo_recbole_sample,GRU4Rec,cpu,0.1689,0.1689,0.26,0.3657,0.1809,0.215,0.1549,0.1689,0.2654,0.3758,0.1822,0.2178,0.1548,0.1695,0.4031352610952229,425.6906463650866,7612.0,18882.0,702080.0,2.38,997.24,"{""dropout_prob"":0.1,""epochs"":20,""eval_batch_size"":1024,""hidden_size"":256,""learning_rate"":0.003,""loss_type"":""CE"",""num_layers"":1,""train_batch_size"":2048,""train_neg_sample_args"":null}",success,,42.0,0.9490622047826752,5.01,986.2,3.64,recbole_results\validation_first_workers\final_pc2\checkpoints\session\globo_recbole_sample\GRU4Rec\seed_42\GRU4Rec-Sep-01-2026_17-53-19.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::globo_recbole_sample::MostPop::seed=42,validation_first_v6::session::globo_recbole_sample::MostPop::{},session,globo_recbole_sample,MostPop,cpu,0.0235,0.0235,0.035,0.0609,0.0238,0.0321,0.0202,0.0235,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,0.0005296049147336,1704.0,10.0,18882.0,702080.0,0.62,8.63,{},success,,42.0,0.9994703950852664,4.98,1.24,1.78,recbole_results\validation_first_workers\final_pc2\checkpoints\session\globo_recbole_sample\MostPop\seed_42\SessionMostPopRecBole-Sep-01-2026_18-09-56.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
validation_first_v6,test,validation_first_v6::test::session::globo_recbole_sample::RecentPop::seed=42,"validation_first_v6::session::globo_recbole_sample::RecentPop::{""recent_fraction"":0.75}",session,globo_recbole_sample,RecentPop,cpu,0.0168,0.0168,0.0296,0.0518,0.0178,0.0249,0.0139,0.0168,0.0289,0.054,0.0174,0.0254,0.0136,0.0168,0.0005296049147336,1401.4,10.0,18882.0,702080.0,0.58,8.45,"{""recent_fraction"":0.75}",success,,42.0,0.9994703950852664,5.01,1.13,1.72,recbole_results\validation_first_workers\final_pc2\checkpoints\session\globo_recbole_sample\RecentPop\seed_42\SessionRecentPopRecBole-Sep-01-2026_18-10-05.pth,recbole_results\validation_first_workers\final_pc2\final_test_results.csv,pc2,v6_unchanged_models_plus_v7_vstan
