dataset,model,execution_host,mrr@10,runtime_seconds,mrr_per_minute,pc2_nondominated
adressa_recbole_sample,DecayPop,pc2,0.1682,8.67,1.1640138408304497,True
adressa_recbole_sample,GRU4Rec,pc2,0.2424,1283.32,0.01133310475952997,True
adressa_recbole_sample,MostPop,pc2,0.1268,6.74,1.1287833827893174,True
adressa_recbole_sample,RecentPop,pc2,0.1451,7.0,1.2437142857142856,True
adressa_recbole_sample,VS-KNN,pc2,0.1768,825.69,0.01284743668931439,True
adressa_recbole_sample,VSTAN,pc1_vstan,0.1642,8284.65,0.0011891872318082236,
globo_recbole_sample,DecayPop,pc2,0.0226,10.52,0.12889733840304182,True
globo_recbole_sample,GRU4Rec,pc2,0.1695,997.24,0.010198146885403714,True
globo_recbole_sample,MostPop,pc2,0.0224,8.63,0.15573580533024334,True
globo_recbole_sample,RecentPop,pc2,0.0168,8.45,0.11928994082840237,True
globo_recbole_sample,VS-KNN,pc2,0.0872,492.9,0.010614729153986611,True
globo_recbole_sample,VSTAN,pc1_vstan,0.0752,2906.24,0.0015525214710416211,
yoochoose_recbole_sample,DecayPop,pc2,0.0081,11.71,0.04150298889837745,True
yoochoose_recbole_sample,GRU4Rec,pc2,0.2625,1204.82,0.013072492156504707,False
yoochoose_recbole_sample,MostPop,pc2,0.008,9.66,0.049689440993788817,True
yoochoose_recbole_sample,RecentPop,pc2,0.0075,9.91,0.045408678102926335,False
yoochoose_recbole_sample,VS-KNN,pc2,0.2879,158.42,0.10903926271935363,True
yoochoose_recbole_sample,VSTAN,pc1_vstan,0.2861,421.33,0.04074241093679539,
amazon_recbole,BPR,pc2,0.0552,168626.23,1.9641072447625732e-05,True
amazon_recbole,DecayPop,pc2,0.0098,2932.28,0.00020052655271665733,True
amazon_recbole,MostPop,pc2,0.0091,2384.91,0.00022893945683484914,True
amazon_recbole,RecentPop,pc2,0.0033,2195.79,9.01725574850054e-05,True
movielens_recbole,BPR,pc2,0.1569,8118.36,0.0011595938095871582,True
movielens_recbole,DecayPop,pc2,0.1065,456.35,0.014002410430590554,True
movielens_recbole,MostPop,pc2,0.1062,175.75,0.03625604551920341,True
movielens_recbole,RecentPop,pc2,0.0775,293.57,0.015839493136219643,False
