dataset,winner,competitor,query_count,winner_mrr_at_10,competitor_mrr_at_10,mean_difference,winner_better_queries,competitor_better_queries,tied_queries,wilcoxon_statistic,p_value,holm_adjusted_p,significant_at_0_05
adressa_recbole_sample,GRU4Rec,MostPop,64332,0.2424464632,0.1268250748,0.1156213884,28133,10874,25325,188902422.5,0,0,True
adressa_recbole_sample,GRU4Rec,RecentPop,64332,0.2424464632,0.1451286555,0.09731780772,26371,11735,26226,207400337.5,0,0,True
adressa_recbole_sample,GRU4Rec,DecayPop,64332,0.2424464632,0.1682135159,0.07423294734,25465,12532,26335,235749128,0,0,True
adressa_recbole_sample,GRU4Rec,VS-KNN,64332,0.2424464632,0.1767708176,0.06567564563,24433,13690,26209,253103940.5,0,0,True
adressa_recbole_sample,GRU4Rec,VSTAN,64332,0.2424464632,0.1642377858,0.07820867741,25182,13761,25389,253369607,0,0,True
globo_recbole_sample,GRU4Rec,MostPop,70208,0.1694777582,0.0224381396,0.1470396186,25175,1677,43356,18568552.5,0,0,True
globo_recbole_sample,GRU4Rec,RecentPop,70208,0.1694777582,0.01684490123,0.1526328569,25362,1429,43417,13254553.5,0,0,True
globo_recbole_sample,GRU4Rec,DecayPop,70208,0.1694777582,0.02257349138,0.1469042668,25141,1578,43489,18134639.5,0,0,True
globo_recbole_sample,GRU4Rec,VS-KNN,70208,0.1694777582,0.0871961749,0.08228158325,20425,9974,39809,109032289,0,0,True
globo_recbole_sample,GRU4Rec,VSTAN,70208,0.1694777582,0.07522438428,0.09425337387,21389,9385,39434,98660144,0,0,True
yoochoose_recbole_sample,VS-KNN,MostPop,71475,0.287891626,0.00802187467,0.2798697513,38147,534,32794,5860165.5,0,0,True
yoochoose_recbole_sample,VS-KNN,RecentPop,71475,0.287891626,0.00754544546,0.2803461805,38225,573,32677,8425371.5,0,0,True
yoochoose_recbole_sample,VS-KNN,DecayPop,71475,0.287891626,0.00805817885,0.2798334471,38243,521,32711,8270258.5,0,0,True
yoochoose_recbole_sample,VS-KNN,VSTAN,71475,0.287891626,0.2861348734,0.001756752555,12618,10272,48585,122386168,6.914747787e-18,6.914747787e-18,True
yoochoose_recbole_sample,VS-KNN,GRU4Rec,71475,0.287891626,0.2625266133,0.02536501274,17218,13048,41209,190790113,8.48728981e-140,1.697457962e-139,True
