dataset,model,popularity_weight,best_mrr@10,best_hit@10,best_ndcg@10,runtime_seconds,config_json
adressa_recbole_sample,VS-KNN,0.0,0.1497,0.4237,0.2132,3081.12,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}"
adressa_recbole_sample,VS-KNN,0.5,0.0858,0.1932,0.1106,3067.49,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 500}"
adressa_recbole_sample,VS-KNN,1.0,0.0233,0.099,0.0404,2870.75,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 500}"
adressa_recbole_sample,VSTAN,0.0,0.1619,0.4204,0.2221,2795.94,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
adressa_recbole_sample,VSTAN,0.5,0.0966,0.2226,0.1255,2841.16,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
adressa_recbole_sample,VSTAN,1.0,0.0275,0.1136,0.0469,2783.24,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
globo_recbole_sample,VS-KNN,0.0,0.0555,0.2375,0.0977,990.2,"{""vsknn_k"": 500, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}"
globo_recbole_sample,VS-KNN,0.5,0.0241,0.114,0.0448,352.73,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 500}"
globo_recbole_sample,VS-KNN,1.0,0.005,0.0297,0.0105,235.69,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 500}"
globo_recbole_sample,VSTAN,0.0,0.0563,0.2361,0.0981,340.12,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
globo_recbole_sample,VSTAN,0.5,0.0278,0.1272,0.0508,1270.37,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
globo_recbole_sample,VSTAN,1.0,0.0065,0.0377,0.0135,252.5,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
yoochoose_recbole_sample,VS-KNN,0.0,0.2554,0.4639,0.3053,263.49,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 500}"
yoochoose_recbole_sample,VS-KNN,0.5,0.2477,0.445,0.2948,580.15,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.5, ""vsknn_sample_size"": 500}"
yoochoose_recbole_sample,VS-KNN,1.0,0.1851,0.3961,0.235,309.82,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 1.0, ""vsknn_sample_size"": 500}"
yoochoose_recbole_sample,VSTAN,0.0,0.2676,0.4915,0.3211,1799.55,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
yoochoose_recbole_sample,VSTAN,0.5,0.2601,0.4596,0.308,2198.43,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
yoochoose_recbole_sample,VSTAN,1.0,0.1976,0.403,0.2461,354.59,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
