experiment_type,dataset,model,runtime_seconds_count,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,eval_runtime_seconds_mean,train_runtime_seconds_mean
session,adressa_recbole_sample,GRU4Rec,36,19.7431,18.265,14.73,26.18,0.2069,13.8367
session,adressa_recbole_sample,VS-KNN,9,906.969,718.44,633.24,1883.88,524.759,375.057
session,adressa_recbole_sample,VSTAN,54,953.957,740.855,652.84,2001.1,552.556,394.218
session,globo_recbole_sample,GRU4Rec,36,21.0381,21.255,15.33,27.56,0.2617,15.1283
session,globo_recbole_sample,VS-KNN,9,288.513,198.75,157.34,738.02,190.949,90.5567
session,globo_recbole_sample,VSTAN,54,309.258,209.845,166.07,791.81,205.059,97.1654
session,yoochoose_recbole_sample,GRU4Rec,36,24.3256,24.75,17.45,32.21,0.2722,18.3744
session,yoochoose_recbole_sample,VS-KNN,9,586.829,422.32,252.3,1557.31,348.44,230.52
session,yoochoose_recbole_sample,VSTAN,54,629.027,447.64,285.74,1645.69,374.231,247.163
topn,amazon_recbole,MostPop,2,1662.84,1662.84,1662.26,1663.41,1162.23,200.905
topn,amazon_recbole,RecentPop,9,1676.65,1667.55,1640.1,1730.85,1174.45,212.039
topn,amazon_recbole,DecayPop,8,1693.09,1685.36,1641.1,1745.39,1175.54,218.504
topn,amazon_recbole,BPR,10,10463.1,12617.4,3480.35,14252.7,1232.71,8929.33
topn,movielens_recbole,MostPop,2,292.535,292.535,284.62,300.45,81.265,105.135
topn,movielens_recbole,RecentPop,9,337.962,338.47,330.6,351.84,76.9322,99.87
topn,movielens_recbole,DecayPop,8,449.212,428.865,417.4,494.55,77.2312,99.9112
topn,movielens_recbole,BPR,10,4275.17,4804.09,1188.86,5556.69,81.085,4089.89
