dataset,model,implementation,device,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,unique_recommended_items@10,catalogue_size,recommendation_count,extra_metrics_runtime_seconds,runtime_seconds,config_json,status,error
adressa_recbole_sample,DecayPop,current,cpu,0.2622,0.4046,0.177,0.2231,0.1491,0.1682,0.002426006792819,7592.200006217746,10,4122,643320,0.29,2.04,"{""decay_half_life_days"": 0.25}",success,
adressa_recbole_sample,GRU4Rec,current,cpu,0.3547,0.5223,0.2354,0.2894,0.1961,0.2183,0.1356137797185832,5791.31960455139,559,4122,643320,2.61,1176.29,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,
adressa_recbole_sample,MostPop,current,cpu,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,0.002426006792819,8435.2,10,4122,643320,0.29,2.16,{},success,
adressa_recbole_sample,RecentPop,current,cpu,0.2386,0.383,0.1661,0.2131,0.1424,0.1619,0.002426006792819,5734.900006217746,10,4122,643320,0.26,1.92,"{""recent_fraction"": 0.25}",success,
adressa_recbole_sample,VS-KNN,audited,cpu,0.2885,0.4313,0.1853,0.2312,0.1515,0.1703,0.1974769529354682,7249.357731766461,814,4122,643320,91.88,249.77,"{""neighbor_size"": 200, ""sample_size"": 500, ""sampling"": ""recent"", ""score_weighting"": ""div"", ""session_weighting"": ""div"", ""similarity"": ""vec""}",success,
adressa_recbole_sample,VSTAN,current,cpu,0.2739,0.4205,0.1749,0.2221,0.1425,0.162,0.2210092188258127,5719.1266803457065,911,4122,643320,1883.2,5170.38,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,
globo_recbole_sample,DecayPop,current,cpu,0.0359,0.0619,0.0233,0.0316,0.0192,0.0226,0.0005296049147336,1672.3,10,18882,702080,1.08,5.53,"{""decay_half_life_days"": 30.0}",success,
globo_recbole_sample,GRU4Rec,current,cpu,0.2435,0.363,0.1606,0.1992,0.1334,0.1493,0.2111005190128164,512.9800948609845,3986,18882,702080,3.49,1420.75,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,
globo_recbole_sample,MostPop,current,cpu,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,0.0005296049147336,1704.0,10,18882,702080,1.09,5.82,{},success,
globo_recbole_sample,RecentPop,current,cpu,0.0128,0.0212,0.0083,0.011,0.0069,0.008,0.0005296049147336,569.5,10,18882,702080,0.88,5.1,"{""recent_fraction"": 0.5}",success,
globo_recbole_sample,VS-KNN,audited,cpu,0.1833,0.3298,0.0867,0.1341,0.0555,0.0751,0.514670056138121,524.5610799339107,9718,18882,702080,104.24,261.94,"{""neighbor_size"": 100, ""sample_size"": 1000, ""sampling"": ""recent"", ""score_weighting"": ""div"", ""session_weighting"": ""div"", ""similarity"": ""vec""}",success,
globo_recbole_sample,VSTAN,current,cpu,0.1347,0.2361,0.0654,0.0981,0.0429,0.0563,0.4850651414045122,554.8317542160438,9159,18882,702080,264.27,659.4,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,
yoochoose_recbole_sample,DecayPop,current,cpu,0.0104,0.0166,0.0072,0.0091,0.0062,0.0069,0.0004500652594626,387.5,10,22219,714750,1.14,7.08,"{""decay_half_life_days"": 30.0}",success,
yoochoose_recbole_sample,GRU4Rec,current,cpu,0.3801,0.4833,0.2697,0.3032,0.2332,0.2471,0.6735676673117602,102.68863658621896,14966,22219,714750,3.73,1712.54,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,
yoochoose_recbole_sample,MostPop,current,cpu,0.0138509968520461,0.0215459951031829,0.0087088220008564,0.011176018787456,0.0070152734438411,0.0080218746953804,0.0004500652594626,602.8,10,22219,714750,1.22,3.95,{},success,
yoochoose_recbole_sample,RecentPop,current,cpu,0.011,0.0173,0.0075,0.0095,0.0063,0.0072,0.0004500652594626,394.8,10,22219,714750,1.3,7.43,"{""recent_fraction"": 0.5}",success,
yoochoose_recbole_sample,VS-KNN,audited,cpu,0.4417,0.5377,0.3165,0.3478,0.275,0.288,0.7359467122732797,109.01441203217908,16352,22219,714750,71.63,195.65,"{""neighbor_size"": 100, ""sample_size"": 500, ""sampling"": ""recent"", ""score_weighting"": ""quadratic"", ""session_weighting"": ""div"", ""similarity"": ""vec""}",success,
yoochoose_recbole_sample,VSTAN,current,cpu,0.4055,0.4956,0.2928,0.3221,0.2554,0.2676,0.7752824159503128,95.08675760755509,17226,22219,714750,408.39,1101.97,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,
