scenario,dataset,model,implementation,device,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,runtime_seconds,config_json,result_source,run_id
Session-based,adressa_recbole_sample,GRU4Rec,existing,cuda,0.3539,0.522,0.235,0.2892,0.1959,0.2181,,,26.18,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",session_full_tuning_results.csv,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}"
Session-based,adressa_recbole_sample,VSKNN,audited,cpu,0.2885,0.4313,0.1853,0.2312,0.1515,0.1703,,,142.53,"{""neighbor_size"": 200, ""sample_size"": 500, ""sampling"": ""recent"", ""score_weighting"": ""div"", ""session_weighting"": ""div"", ""similarity"": ""vec""}",compact_tuning_best_by_dataset.csv,adressa_recbole_sample::e0f1f7c33df0
Session-based,adressa_recbole_sample,VSTAN,existing,cuda,0.2738,0.4204,0.1749,0.2221,0.1425,0.1619,,,2795.94,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",session_full_tuning_results.csv,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
Session-based,adressa_recbole_sample,RecentPop,existing,cuda,0.2486,0.3815,0.1459,0.1884,0.1123,0.1296,,,6.48,"{""window_days"": 1}",session_full_tuning_results.csv,"adressa_recbole_sample::RecentPop::{""window_days"": 1}"
Session-based,adressa_recbole_sample,DecayPop,existing,cuda,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,,,7.94,"{""decay_lambda"": 5e-09}",session_full_tuning_results.csv,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 5e-09}"
Session-based,adressa_recbole_sample,MostPop,existing,cuda,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,,,6.4,{},session_full_tuning_results.csv,adressa_recbole_sample::MostPop::{}
Session-based,globo_recbole_sample,GRU4Rec,existing,cuda,0.2436,0.3614,0.1608,0.1988,0.1337,0.1493,,,27.36,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",session_full_tuning_results.csv,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}"
Session-based,globo_recbole_sample,VSTAN,existing,cuda,0.2026,0.3644,0.0958,0.1482,0.0614,0.0831,,,287.73,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",session_full_tuning_results.csv,"globo_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}"
Session-based,globo_recbole_sample,VSKNN,audited,cpu,0.1833,0.3298,0.0867,0.1341,0.0555,0.0751,,,143.85,"{""neighbor_size"": 100, ""sample_size"": 1000, ""sampling"": ""recent"", ""score_weighting"": ""div"", ""session_weighting"": ""div"", ""similarity"": ""vec""}",compact_tuning_best_by_dataset.csv,globo_recbole_sample::f243e650f371
Session-based,globo_recbole_sample,DecayPop,existing,cuda,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,,,8.57,"{""decay_lambda"": 1e-08}",session_full_tuning_results.csv,"globo_recbole_sample::DecayPop::{""decay_lambda"": 1e-08}"
