dataset,model,hit@10,ndcg@10,mrr@10,coverage@10,avg_recommendation_popularity@10,runtime_seconds,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,epochs,train_batch_size,eval_batch_size,device,status
yoochoose_recbole_sample,VSTAN,0.5141,0.328,0.2697,0.7882988298829883,99.8786456803078,1378.38,474.54,659.29,222.06,,,100.0,250.0,0.1,True,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VSTAN,0.5072,0.3246,0.2675,0.7266426642664267,110.53134522560336,487.3,118.2,184.79,176.38,,,100.0,250.0,0.1,False,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VSTAN,0.5005,0.3227,0.2669,0.8341134113411341,91.97485554389648,588.14,110.82,167.2,297.37,,,50.0,250.0,0.1,True,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VSTAN,0.4943,0.3201,0.2654,0.7719621962196219,106.17945855194124,986.29,342.58,304.39,316.83,,,50.0,250.0,0.1,False,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VS-KNN,0.4956,0.3179,0.2624,0.7072007200720072,111.25515914655476,564.52,111.34,217.98,226.39,100.0,250.0,,,,,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VS-KNN,0.4839,0.3139,0.2606,0.7488298829882988,109.3076838055264,265.02,64.98,98.43,92.22,50.0,250.0,,,,,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,GRU4Rec,0.48,0.2992,0.2428,0.6497299729972997,103.50530954879328,87.64,79.17,0.66,2.01,,,,,,,256.0,0.001,0.2,20,2048,2048,cuda,success
yoochoose_recbole_sample,GRU4Rec,0.4715,0.294,0.2388,0.6002700270027003,105.8411626442812,74.04,65.55,0.67,1.83,,,,,,,128.0,0.001,0.2,20,2048,2048,cuda,success
adressa_recbole_sample,GRU4Rec,0.5183,0.2857,0.2148,0.1336405529953917,5785.919505067463,60.16,52.29,0.56,1.48,,,,,,,256.0,0.001,0.2,20,2048,2048,cuda,success
adressa_recbole_sample,GRU4Rec,0.5131,0.2808,0.2098,0.0975018190637885,5851.472138282658,48.58,41.09,0.41,1.35,,,,,,,128.0,0.001,0.2,20,2048,2048,cuda,success
adressa_recbole_sample,GRU4Rec,0.4754,0.2546,0.1876,0.0453553237933543,6306.499050239383,28.02,20.72,0.46,1.34,,,,,,,128.0,0.001,0.2,10,2048,2048,cuda,success
adressa_recbole_sample,GRU4Rec,0.4726,0.2513,0.1841,0.0439000727625515,6350.56403345147,34.44,26.62,0.45,1.81,,,,,,,256.0,0.001,0.2,10,2048,2048,cuda,success
yoochoose_recbole_sample,GRU4Rec,0.3394,0.1972,0.1535,0.3030603060306031,122.53600979363414,48.3,39.65,0.65,1.9,,,,,,,256.0,0.001,0.2,10,2048,2048,cuda,success
globo_recbole_sample,GRU4Rec,0.3664,0.2016,0.1515,0.1937721760313509,519.1714647903373,71.92,63.96,0.6,1.74,,,,,,,256.0,0.001,0.2,20,2048,2048,cuda,success
globo_recbole_sample,GRU4Rec,0.3596,0.1964,0.1467,0.1632685484298046,532.102603691887,60.32,52.39,0.59,1.56,,,,,,,128.0,0.001,0.2,20,2048,2048,cuda,success
adressa_recbole_sample,VSTAN,0.3904,0.2021,0.1456,0.3536260004850837,5970.856542622645,1163.14,308.15,422.11,425.3,,,100.0,250.0,0.1,True,,,,1,2048,1024,cuda,success
adressa_recbole_sample,VSTAN,0.373,0.197,0.144,0.5035168566577735,5402.257461294535,982.58,263.57,350.08,361.66,,,50.0,250.0,0.1,True,,,,1,2048,1024,cuda,success
adressa_recbole_sample,VSTAN,0.3732,0.1939,0.14,0.2413291292747999,6264.253892308649,958.76,251.0,344.0,356.52,,,50.0,250.0,0.1,False,,,,1,2048,1024,cuda,success
adressa_recbole_sample,VSTAN,0.3761,0.1921,0.1368,0.2066456463739995,6635.667579120811,1147.81,305.37,417.96,417.04,,,100.0,250.0,0.1,False,,,,1,2048,1024,cuda,success
globo_recbole_sample,GRU4Rec,0.32,0.1689,0.123,0.0442726261716888,629.635843493619,34.7,26.42,0.65,1.95,,,,,,,128.0,0.001,0.2,10,2048,2048,cuda,success
dataset,model,hit@10,ndcg@10,mrr@10,coverage@10,avg_recommendation_popularity@10,runtime_seconds,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,epochs,train_batch_size,eval_batch_size,device,status
yoochoose_recbole_sample,VSTAN,0.5141,0.328,0.2697,0.7882988298829883,99.8786456803078,1378.38,474.54,659.29,222.06,,,100.0,250.0,0.1,True,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VSTAN,0.5072,0.3246,0.2675,0.7266426642664267,110.53134522560336,487.3,118.2,184.79,176.38,,,100.0,250.0,0.1,False,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VSTAN,0.5005,0.3227,0.2669,0.8341134113411341,91.97485554389648,588.14,110.82,167.2,297.37,,,50.0,250.0,0.1,True,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VSTAN,0.4943,0.3201,0.2654,0.7719621962196219,106.17945855194124,986.29,342.58,304.39,316.83,,,50.0,250.0,0.1,False,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VS-KNN,0.4956,0.3179,0.2624,0.7072007200720072,111.25515914655476,564.52,111.34,217.98,226.39,100.0,250.0,,,,,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,VS-KNN,0.4839,0.3139,0.2606,0.7488298829882988,109.3076838055264,265.02,64.98,98.43,92.22,50.0,250.0,,,,,,,,1,2048,1024,cuda,success
yoochoose_recbole_sample,GRU4Rec,0.48,0.2992,0.2428,0.6497299729972997,103.50530954879328,87.64,79.17,0.66,2.01,,,,,,,256.0,0.001,0.2,20,2048,2048,cuda,success
yoochoose_recbole_sample,GRU4Rec,0.4715,0.294,0.2388,0.6002700270027003,105.8411626442812,74.04,65.55,0.67,1.83,,,,,,,128.0,0.001,0.2,20,2048,2048,cuda,success
adressa_recbole_sample,GRU4Rec,0.5183,0.2857,0.2148,0.1336405529953917,5785.919505067463,60.16,52.29,0.56,1.48,,,,,,,256.0,0.001,0.2,20,204
