experiment_type,dataset,model,mrr@10,relative_mrr@10_to_dataset_best,hit@10,ndcg@10,runtime_seconds,top10_item_share,top1_percent_item_share,item_popularity_gini,avg_interactions_per_user_or_session,repeat_item_share_within_user_or_session,popularity_profile,sequence_context_profile,interpretation
session,adressa_recbole_sample,GRU4Rec,0.2181,1.0,0.522,0.2892,26.18,0.396464,0.801654,0.9763259262493935,3.0118848978067456,0.089438,highly concentrated popularity,very short session context,The neural sequence model captures useful transition patterns for this dataset.
session,adressa_recbole_sample,VSTAN,0.1619,0.7423200366804218,0.4204,0.2221,2795.94,0.396464,0.801654,0.9763259262493935,3.0118848978067456,0.089438,highly concentrated popularity,very short session context,"The model can still exploit co-occurrences, but very short sessions limit neighborhood evidence."
session,adressa_recbole_sample,VS-KNN,0.1497,0.6863823933975242,0.4237,0.2132,3081.12,0.396464,0.801654,0.9763259262493935,3.0118848978067456,0.089438,highly concentrated popularity,very short session context,"The model can still exploit co-occurrences, but very short sessions limit neighborhood evidence."
session,adressa_recbole_sample,RecentPop,0.1296,0.594222833562586,0.3815,0.1884,6.48,0.396464,0.801654,0.9763259262493935,3.0118848978067456,0.089438,highly concentrated popularity,very short session context,Popularity is a meaningful signal on this dataset; the model benefits from item concentration.
session,adressa_recbole_sample,DecayPop,0.1268,0.5813846859238881,0.3734,0.1841,7.94,0.396464,0.801654,0.9763259262493935,3.0118848978067456,0.089438,highly concentrated popularity,very short session context,Popularity is a meaningful signal on this dataset; the model benefits from item concentration.
session,adressa_recbole_sample,MostPop,0.1268,0.5813846859238881,0.3734,0.1841,6.4,0.396464,0.801654,0.9763259262493935,3.0118848978067456,0.089438,highly concentrated popularity,very short session context,Popularity is a meaningful signal on this dataset; the model benefits from item concentration.
session,globo_recbole_sample,GRU4Rec,0.1493,1.0,0.3614,0.1988,27.36,0.08046616093232187,0.4948849897699795,0.8957445364313459,2.845511197108955,0.0,highly concentrated popularity,very short session context,The neural sequence model captures useful transition patterns for this dataset.
session,globo_recbole_sample,VSTAN,0.0563,0.3770931011386471,0.2361,0.0981,340.12,0.08046616093232187,0.4948849897699795,0.8957445364313459,2.845511197108955,0.0,highly concentrated popularity,very short session context,"The model can still exploit co-occurrences, but very short sessions limit neighborhood evidence."
session,globo_recbole_sample,VS-KNN,0.0555,0.3717347622237106,0.2375,0.0977,990.2,0.08046616093232187,0.4948849897699795,0.8957445364313459,2.845511197108955,0.0,highly concentrated popularity,very short session context,"The model can still exploit co-occurrences, but very short sessions limit neighborhood evidence."
session,globo_recbole_sample,DecayPop,0.0224,0.1500334896182183,0.0626,0.0316,8.77,0.08046616093232187,0.4948849897699795,0.8957445364313459,2.845511197108955,0.0,highly concentrated popularity,very short session context,Global popularity does not explain the next interaction well; session or personalization signals dominate.
session,globo_recbole_sample,MostPop,0.0224,0.1500334896182183,0.0626,0.0316,6.93,0.08046616093232187,0.4948849897699795,0.8957445364313459,2.845511197108955,0.0,highly concentrated popularity,very short session context,Global popularity does not explain the next interaction well; session or personalization signals dominate.
session,globo_recbole_sample,RecentPop,0.0224,0.1500334896182183,0.0626,0.0316,7.13,0.08046616093232187,0.4948849897699795,0.8957445364313459,2.845511197108955,0.0,highly concentrated popularity,very short session context,Global popularity does not explain the next interaction well; session or personalization signals dominate.
session,yoochoose_recbole_sample,VSTAN,0.2676,0.9650198341146772,0.4915,0.3211,1799.55,0.02538810155240621,0.2093568374273497,0.7795352826849896,3.952678345560334,0.20007080028320112,moderately concentrated popularity,short sessions with repeated items,"The model can still exploit co-occurrences, but very short sessions limit neighborhood evidence."
