experiment_type,dataset,model,mrr@10,relative_mrr@10_to_dataset_best,hit@10,ndcg@10,coverage@10,avg_recommendation_popularity@10,top1_item_share,top10_item_share,top100_item_share,top1_percent_item_share,item_popularity_gini,item_popularity_normalized_entropy,time_span_days,popularity_profile,temporal_profile,explanation
session,adressa_recbole_sample,RecentPop,0.1296,0.594222833562586,0.3815,0.1884,,,0.06121,0.396464,0.945268,0.801654,0.9763259262493935,0.5207379028573971,1.42,highly concentrated popularity,very short time span,The popularity baseline explains a large part of the best observed performance. RecentPop depends on whether the selected time window matches the dataset's temporal dynamics. Dataset profile: highly concentrated popularity; very short time span.
session,adressa_recbole_sample,DecayPop,0.1268,0.5813846859238881,0.3734,0.1841,,,0.06121,0.396464,0.945268,0.801654,0.9763259262493935,0.5207379028573971,1.42,highly concentrated popularity,very short time span,The popularity baseline explains a large part of the best observed performance. DecayPop can help when older interactions should gradually lose influence. Dataset profile: highly concentrated popularity; very short time span.
session,adressa_recbole_sample,MostPop,0.1268,0.5813846859238881,0.3734,0.1841,,,0.06121,0.396464,0.945268,0.801654,0.9763259262493935,0.5207379028573971,1.42,highly concentrated popularity,very short time span,The popularity baseline explains a large part of the best observed performance. MostPop works best when long-term popularity is stable and strongly concentrated. Dataset profile: highly concentrated popularity; very short time span.
session,globo_recbole_sample,DecayPop,0.0224,0.1500334896182183,0.0626,0.0316,,,0.012426024852049704,0.08046616093232187,0.3685507371014742,0.4948849897699795,0.8957445364313459,0.7415687633519427,30.771226851851853,highly concentrated popularity,short to medium time span,"The popularity baseline is weak, indicating that next-item behavior is not explained by global popularity alone. DecayPop can help when older interactions should gradually lose influence. Dataset profile: highly concentrated popularity; short to medium time span."
session,globo_recbole_sample,MostPop,0.0224,0.1500334896182183,0.0626,0.0316,,,0.012426024852049704,0.08046616093232187,0.3685507371014742,0.4948849897699795,0.8957445364313459,0.7415687633519427,30.771226851851853,highly concentrated popularity,short to medium time span,"The popularity baseline is weak, indicating that next-item behavior is not explained by global popularity alone. MostPop works best when long-term popularity is stable and strongly concentrated. Dataset profile: highly concentrated popularity; short to medium time span."
session,globo_recbole_sample,RecentPop,0.0224,0.1500334896182183,0.0626,0.0316,,,0.012426024852049704,0.08046616093232187,0.3685507371014742,0.4948849897699795,0.8957445364313459,0.7415687633519427,30.771226851851853,highly concentrated popularity,short to medium time span,"The popularity baseline is weak, indicating that next-item behavior is not explained by global popularity alone. RecentPop depends on whether the selected time window matches the dataset's temporal dynamics. Dataset profile: highly concentrated popularity; short to medium time span."
session,yoochoose_recbole_sample,DecayPop,0.0084,0.0302921024161557,0.0216,0.0115,,,0.004302017208068832,0.02538810155240621,0.1256385025540102,0.2093568374273497,0.7795352826849896,0.8628257143278494,181.97157407407408,moderately concentrated popularity,medium time span,"The popularity baseline is weak, indicating that next-item behavior is not explained by global popularity alone. DecayPop can help when older interactions should gradually lose influence. Dataset profile: moderately concentrated popularity; medium time span."
session,yoochoose_recbole_sample,MostPop,0.008,0.0288496213487198,0.0215,0.0112,,,0.004302017208068832,0.02538810155240621,0.1256385025540102,0.2093568374273497,0.7795352826849896,0.8628257143278494,181.97157407407408,moderately concentrated popularity,medium time span,"The popularity baseline is weak, indicating that next-item behavior is not explained by global popularity alone. MostPop works best when long-term popularity is stable and strongly concentrated. Dataset profile: moderately concentrated popularity; medium time span."
session,yoochoose_recbole_sample,RecentPop,0.008,0.0288496213487198,0.0212,0.0111,,,0.004302017208068832,0.02538810155240621,0.1256385025540102,0.2093568374273497,0.7795352826849896,0.8628257143278494,181.97157407407408,moderately concentrated popularity,medium time span,"The popularity baseline is weak, indicating that next-item behavior is not explained by global popularity alone. RecentPop depends on whether the selected time window matches the dataset's temporal dynamics. Dataset profile: moderately concentrated popularity; medium time span."
topn,amazon_recbole,DecayPop,0.01,0.1926782273603083,0.026,0.0136,0.0001549040025473,3197.8703986068463,0.004044749971639165,0.02358136818759417,0.10042743014288531,0.36465219718432107,0.8316818473505683,0.8362031383683499,8944.196400462963,moderately concentrated popularity,long time span,"The popularity baseline is weak, indicating that next-item behavior is not explained by global popularity alone. DecayPop can help when older interactions should gradually lose influence. Dataset profile: moderately concentrated popularity; long time span."
