dataset,rank,item_id,interaction_count,interaction_share,recent_top10_percent_count,recent_top10_percent_share_within_item
adressa_recbole_sample,1,68d1503c73ad169dcfff48214fd0274c4d612e63,30605,0.06121,725,0.023688939715732722
adressa_recbole_sample,2,0867dbb33bb90970ae48592057be34246a0124ac,27159,0.054318,7111,0.2618284914761221
adressa_recbole_sample,3,71e7c18e889b7e19352cfb63a15bd8aa32c51630,26528,0.053056,1228,0.04629071170084439
adressa_recbole_sample,4,b16b516eefb647edec256ad2f9b2c7a897b9785b,18983,0.037966,297,0.015645577622082917
adressa_recbole_sample,5,ca1952721582ff9e2b6d3555c26ee81a3f3f8fdb,18947,0.037894,1036,0.05467884097746345
adressa_recbole_sample,6,9d615dd08d92c8e9670fb72b5c78cbc6b52501c4,17478,0.034956,2627,0.1503032383567914
adressa_recbole_sample,7,3a77a5a627c60c02d40440ea394cb8afb2791862,16158,0.032316,1747,0.10811981680901102
adressa_recbole_sample,8,f2ce698b3daf00cfcac0d5279053c4da9de07a92,14256,0.028512,1148,0.08052749719416386
adressa_recbole_sample,9,2f467692114ca904797b884155dc0d423b5d9c42,14236,0.028472,562,0.03947738128687834
adressa_recbole_sample,10,b28e7c163c39941aa1cbd0b7b3a821576771f893,13882,0.027764,2903,0.20911972338279786
adressa_recbole_sample,11,f9ad33b317728440d5ed10efce23ccfbb81e9c70,12999,0.025998,928,0.0713901069313024
adressa_recbole_sample,12,7dbbd7f3a7ec287bdcbdaf8b8f042732074bf2bd,11867,0.023734,1764,0.14864750990140727
adressa_recbole_sample,13,9f3999bd1a1a8d67bcb073ad54840f15cb30f014,11740,0.02348,86,0.007325383304940375
adressa_recbole_sample,14,4c735178b0529ff5de70a114dddda3c34e46bd2d,10964,0.021928,15,0.0013681138270704122
adressa_recbole_sample,15,e1f0d81ed8ccb738db28fdfaa51ad3a6b3fc2b8e,10746,0.021492,22,0.0020472734040573237
adressa_recbole_sample,16,1217b19ae6a41b6d58a1bfe0d9aed91c6355ac23,10454,0.020908,964,0.0922135067916587
adressa_recbole_sample,17,197fa137aae522a87d6bd210610bc2c71191d5fa,10325,0.02065,754,0.07302663438256658
adressa_recbole_sample,18,735628ed2428f2a7b2a1b78f95f3c6d777e1865b,9785,0.01957,473,0.04833929483903934
adressa_recbole_sample,19,b5805afe6f42ea5da09270c7184be7a7c4cd8c34,8095,0.01619,525,0.06485484867201977
adressa_recbole_sample,20,ab8cd0aafcfee80d596f4d4fccf5ea1083ef26d2,7254,0.014508,28,0.0038599393438103115
adressa_recbole_sample,21,dccdcc4b672df99eabf2dbbfc350c9917dee9a0b,7102,0.014204,3,0.00042241622078287804
adressa_recbole_sample,22,05e4209b296dc7dfc9d4e0c401d79256bcea4cb5,6815,0.01363,96,0.01408657373440939
adressa_recbole_sample,23,7d63c09d596a913d74adf23b57e3df6c9387cdfc,6646,0.013292,23,0.0034607282575985555
adressa_recbole_sample,24,1d6279f9e08156802519de2929346fd57e974ff1,6183,0.012366,113,0.018275917839236617
adressa_recbole_sample,25,50e83ca4ce33d97e189b12eb90a5eb4a1c0605b5,5829,0.011658,55,0.009435580717104134
amazon_recbole,1,B01N3ASPNV,10625,0.004044749971639165,206,0.019388235294117647
amazon_recbole,2,B077GG9D5D,7713,0.0029362029676473296,510,0.06612213146635551
amazon_recbole,3,B0086VPUHI,6759,0.002573032005487917,115,0.01701435123538985
amazon_recbole,4,B000N5Z2L4,6523,0.002483190970823743,335,0.05135673769737851
amazon_recbole,5,B07YBXFDYN,6168,0.0023480487364772114,37,0.005998702983138781
amazon_recbole,6,B004RMK5QG,5550,0.0021127870440091636,54,0.00972972972972973
amazon_recbole,7,B00BGA9WK2,5154,0.001962036833301483,8,0.0015521924718665113
amazon_recbole,8,B07YBWT3PK,4720,0.001796820693283469,45,0.009533898305084746
amazon_recbole,9,B0BN942894,4691,0.0017857809051255833,525,0.11191643572798977
amazon_recbole,10,B00C1TTF86,4042,0.0015387180597991063,14,0.0034636318654131617
amazon_recbole,11,B087NNPYP3,3967,0.0015101668835287123,103,0.025964204688681623
amazon_recbole,12,B07624RBWB,3550,0.001351422343465321,186,0.0523943661971831
amazon_recbole,13,B0C5K4M7WJ,3546,0.0013498996140642334,442,0.12464749012972363
amazon_recbole,14,B019WRM1IA,3525,0.001341905284708523,10,0.0028368794326241137
amazon_recbole,15,B00W9DHUBS,3432,0.0013065018261332341,10,0.002913752913752914
amazon_recbole,16,B00BN5T30E,3396,0.001292797261523445,27,0.007950530035335688
amazon_recbole,17,B07K3KHFSY,3363,0.0012802347439644717,5,0.0014867677668748143
amazon_recbole,18,B0C3KYVDWT,3315,0.0012619619911514194,765,0.23076923076923078
amazon_recbole,19,B00CJ9OTNE,3139,0.0011949618975035613,18,0.005734310289901242
amazon_recbole,20,B004LLHFAW,3061,0.0011652686741823513,7,0.0022868343678536427
amazon_recbole,21,B00HTK1NCS,3009,0.0011454731919682114,19,0.006314390162844799
amazon_recbole,22,B00EP2WNKY,2982,0.0011351947685108697,228,0.07645875251509054
amazon_recbole,23,B081243BT6,2976,0.001132910674409238,178,0.05981182795698925
amazon_recbole,24,B08LT6PT1X,2877,0.0010952231217323178,895,0.3110879388251651
amazon_recbole,25,B00HVBPRUO,2854,0.0010864674276760636,5,0.001751927119831815
globo_recbole_sample,1,160974,6213,0.012426024852049704,1,0.00016095284081764043
globo_recbole_sample,2,272143,4887,0.009774019548039097,0,0.0
globo_recbole_sample,3,234698,3908,0.007816015632031263,5,0.00127942681678608
globo_recbole_sample,4,123909,3888,0.007776015552031104,2,0.00051440329218107
globo_recbole_sample,5,336221,3858,0.007716015432030864,0,0.0
globo_recbole_sample,6,336223,3648,0.007296014592029184,0,0.0
globo_recbole_sample,7,96210,3642,0.007284014568029136,6,0.0016474464579901153
globo_recbole_sample,8,162655,3602,0.007204014408028816,0,0.0
globo_recbole_sample,9,183176,3358,0.006716013432026864,1,0.0002977963073257892
globo_recbole_sample,10,168623,3229,0.006458012916025832,0,0.0
globo_recbole_sample,11,158536,3156,0.006312012624025248,0,0.0
globo_recbole_sample,12,64329,3105,0.00621001242002484,1,0.00032206119162640903
globo_recbole_sample,13,331116,3070,0.00614001228002456,3070,1.0
globo_recbole_sample,14,199198,2930,0.00586001172002344,2,0.0006825938566552901
globo_recbole_sample,15,272660,2826,0.005652011304022608,0,0.0
globo_recbole_sample,16,233717,2622,0.005244010488020976,0,0.0
globo_recbole_sample,17,235616,2524,0.005048010096020192,1,0.0003961965134706815
globo_recbole_sample,18,336220,2493,0.004986009972019944,3,0.0012033694344163659
globo_recbole_sample,19,156560,2459,0.004918009836019672,0,0.0
globo_recbole_sample,20,336245,2445,0.00489000978001956,6,0.00245398773006135
globo_recbole_sample,21,124749,2388,0.004776009552019104,1,0.0004187604690117253
globo_recbole_sample,22,160417,2365,0.00473000946001892,0,0.0
globo_recbole_sample,23,289090,2354,0.004708009416018832,2,0.0008496176720475786
globo_recbole_sample,24,59057,2180,0.00436000872001744,2,0.0009174311926605505
globo_recbole_sample,25,293301,2162,0.004324008648017296,0,0.0
movielens_recbole,1,296,67310,0.003365455744256963,6067,0.09013519536473036
movielens_recbole,2,356,66172,0.003308556492482124,5639,0.08521731245844164
movielens_recbole,3,318,63366,0.003168258337402863,7750,0.12230533724710413
movielens_recbole,4,593,63299,0.0031649083814547837,5454,0.08616249861767168
movielens_recbole,5,480,59715,0.0029857107379037966,3390,0.05676965586536046
movielens_recbole,6,260,54502,0.002725064165406225,4969,0.09117096620307512
movielens_recbole,7,110,53769,0.0026884146473473876,3695,0.06871989436292288
movielens_recbole,8,589,52244,0.0026121656500217023,3092,0.059183829722073346
movielens_recbole,9,2571,51334,0.0025666662483388343,7477,0.14565395254607083
movielens_recbole,10,527,50054,0.0025026670899277676,5417,0.10822311903144603
movielens_recbole,11,1,49695,0.0024847173259671634,3593,0.07230103632156153
movielens_recbole,12,457,49581,0.002479017400921178,2025,0.04084225812307134
movielens_recbole,13,150,47777,0.0023888185870355803,2308,0.04830776314963267
movielens_recbole,14,780,47048,0.0023523690663467775,2240,0.047610950518619286
movielens_recbole,15,50,47006,0.0023502690939614145,4847,0.10311449602178445
movielens_recbole,16,1210,46839,0.0023419192037624705,3307,0.07060355686500566
movielens_recbole,17,592,46054,0.0023026697198931835,1407,0.0305510921961176
movielens_recbole,18,1196,45313,0.0022656202070942765,4497,0.0992430428353894
movielens_recbole,19,2858,44987,0.002249320421436458,4682,0.10407451041411964
movielens_recbole,20,32,44980,0.0022489704260388976,2738,0.06087149844375278
movielens_recbole,21,590,44208,0.002210370933622223,1578,0.035694896851248645
movielens_recbole,22,1198,43295,0.002164721533911829,4591,0.10603995842476037
movielens_recbole,23,608,43272,0.00216357154903413,3024,0.06988352745424292
movielens_recbole,24,47,43249,0.0021624215641564315,3331,0.07701912182940646
movielens_recbole,25,380,43159,0.0021579216233306533,1310,0.030352881206700804
yoochoose_recbole_sample,1,643078800,2151,0.004302017208068832,0,0.0
yoochoose_recbole_sample,2,214853094,1849,0.003698014792059168,394,0.2130881557598702
yoochoose_recbole_sample,3,214829878,1779,0.0035580142320569283,39,0.021922428330522766
yoochoose_recbole_sample,4,214853420,1229,0.002458009832039328,100,0.08136696501220504
yoochoose_recbole_sample,5,214826610,1127,0.002254009016036064,5,0.0044365572315882874
yoochoose_recbole_sample,6,214839973,938,0.0018760075040300161,0,0.0
yoochoose_recbole_sample,7,214748336,932,0.0018640074560298241,33,0.03540772532188841
yoochoose_recbole_sample,8,214834880,930,0.0018600074400297601,0,0.0
yoochoose_recbole_sample,9,214834877,887,0.0017740070960283842,3,0.0033821871476888386
yoochoose_recbole_sample,10,214835017,872,0.001744006976027904,2,0.0022935779816513763
yoochoose_recbole_sample,11,214853096,871,0.0017420069680278722,158,0.18140068886337543
yoochoose_recbole_sample,12,214821309,869,0.0017380069520278082,8,0.009205983889528193
yoochoose_recbole_sample,13,214850743,855,0.0017100068400273602,44,0.05146198830409357
yoochoose_recbole_sample,14,214684093,850,0.0017000068000272,66,0.07764705882352942
yoochoose_recbole_sample,15,214717003,811,0.0016220064880259522,27,0.03329223181257707
yoochoose_recbole_sample,16,214829880,801,0.0016020064080256322,22,0.02746566791510612
yoochoose_recbole_sample,17,214821305,784,0.001568006272025088,0,0.0
yoochoose_recbole_sample,18,214835019,740,0.00148000592002368,0,0.0
yoochoose_recbole_sample,19,214836932,739,0.0014780059120236481,7,0.009472259810554804
yoochoose_recbole_sample,20,214853102,706,0.001412005648022592,701,0.9929178470254958
yoochoose_recbole_sample,21,214828970,697,0.001394005576022304,40,0.05738880918220947
yoochoose_recbole_sample,22,214838225,696,0.001392005568022272,2,0.0028735632183908046
yoochoose_recbole_sample,23,214835747,695,0.00139000556002224,1,0.0014388489208633094
yoochoose_recbole_sample,24,214853090,686,0.001372005488021952,127,0.18513119533527697
yoochoose_recbole_sample,25,214849327,681,0.001362005448021792,26,0.0381791483113069
