model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight,experiment_type,experiment_name,source_file,has_experiment_log,coverage@10,avg_recommendation_popularity@10,logged_at,embedding_size,runtime_minutes,mrr@10_per_minute,ndcg@10_per_minute,hit@10_per_minute,train_runtime_share,eval_runtime_share,extra_metrics_runtime_share,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,runtime_relative_to_dataset_fastest,quality_runtime_pareto_efficient
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,715.27,1076.26,0.0,,,0.4032,0.4915,0.2925,0.3211,0.2557,0.2676,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1799.55,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,True,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,29.9925,0.00892223055763941,0.010706009835792282,0.016387430190881052,0.39747159011975214,0.5980717401572615,0.0,35.0,0.9650198341146773,0.009699999999999986,272.65909090909093,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,230.4,342.83,0.0,,,0.4055,0.4956,0.2928,0.3221,0.2554,0.2676,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,581.31,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",200,500,0.2,True,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,9.6885,0.027620374671001705,0.03324560045414667,0.05115342932342468,0.39634618361975543,0.589754175913024,0.0,35.0,0.9650198341146773,0.009699999999999986,88.07727272727273,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,123.8,183.35,0.0,,,0.4038,0.4897,0.2918,0.3198,0.2546,0.2663,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,314.82,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100,500,0.2,True,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,5.247,0.05075281113016962,0.060949113779302455,0.09332952163140842,0.3932405819198272,0.5823962899434597,0.0,40.0,0.9603317706455102,0.01100000000000001,47.7,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,224.79,333.64,0.0,,,0.3996,0.4898,0.2899,0.3193,0.2535,0.2657,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,566.69,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",200,500,0.2,False,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,9.444833333333333,0.02813178280894316,0.033806843247630974,0.05185904109830772,0.3966719017452222,0.5887522278494414,0.0,43.0,0.9581680490443563,0.0116,85.86212121212122,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,703.37,1058.93,0.0,,,0.3975,0.4859,0.2892,0.3179,0.2532,0.2652,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,1770.26,"{""vstan_idf_weighting"": false, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",500,500,0.2,False,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,29.50433333333333,0.008988510162349033,0.010774688463841471,0.016468767299718686,0.39732581654672194,0.59817766881701,0.0,44.0,0.9563649477100613,0.0121,268.22121212121215,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,119.48,176.94,0.0,,,0.3992,0.4852,0.2898,0.3178,0.2535,0.2651,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,304.17,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100,500,0.2,False,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,5.069500000000001,0.05229312555478843,0.06268862806982937,0.09570963605878291,0.3928066541736529,0.5817141729953644,0.0,45.0,0.9560043274432023,0.012199999999999989,46.08636363636364,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,222.23,331.68,0.0,,,0.3951,0.4851,0.2866,0.3158,0.2506,0.2628,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,561.65,"{""vstan_idf_weighting"": true, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",200,500,0.1,True,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,9.360833333333334,0.0280744235733998,0.03373631265022701,0.0518223092673373,0.3956734621205377,0.5905457135226565,0.0,58.0,0.9477100613054453,0.014500000000000013,85.09848484848484,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,714.47,1075.05,0.0,,,0.3938,0.4799,0.2866,0.3146,0.2511,0.2627,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,1797.42,"{""vstan_idf_weighting"": true, ""vstan_k"": 500, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",500,500,0.1,True,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,29.957,0.008769235904796875,0.01050171913075408,0.016019628133658242,0.39749752422917295,0.5981072871115265,0.0,59.0,0.9473494410385863,0.014600000000000002,272.33636363636367,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,216.52,324.18,0.0,,,0.3902,0.4794,0.2841,0.313,0.2489,0.2609,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,548.74,"{""vstan_idf_weighting"": false, ""vstan_k"": 200, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",200,500,0.1,False,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,9.145666666666667,0.02852717133797427,0.03422385829354521,0.052418267303276596,0.39457666654517626,0.5907715858147756,0.0,66.0,0.9408582762351245,0.01639999999999997,83.14242424242425,False
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,120.54,178.22,0.0,,,0.3919,0.4774,0.2845,0.3124,0.249,0.2605,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,306.73,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100,500,0.1,True,,,,,,,,,,0.0,session,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,5.112166666666667,0.050956867603429726,0.06110911876894989,0.09338506178071919,0.39298405764026995,0.5810321781371238,0.0,67.0,0.9394157951676885,0.01679999999999998,46.474242424242426,False
