experiment_type,dataset,model,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight,experiment_name,source_file,has_experiment_log,coverage@10,avg_recommendation_popularity@10,logged_at,embedding_size,runtime_minutes,mrr@10_per_minute,ndcg@10_per_minute,hit@10_per_minute,train_runtime_share,eval_runtime_share,extra_metrics_runtime_share,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,runtime_relative_to_dataset_fastest,quality_runtime_pareto_efficient
session,adressa_recbole_sample,DecayPop,cuda,1,2048,1024,0.75,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 5e-09}",success,,7.94,"{""decay_lambda"": 5e-09}",,,,,,,,,,,,5e-09,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.13233333333333333,0.9581863979848867,1.3911838790931992,2.821662468513854,0.09445843828715365,0.02518891687657431,0.0,123.0,0.5813846859238881,0.09129999999999999,1.2425665101721441,False
session,adressa_recbole_sample,GRU4Rec,cuda,20,2048,2048,20.25,0.21,0.0,,,0.3539,0.522,0.235,0.2892,0.1959,0.2181,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,26.18,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.001,0.1,1.0,CE,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.43633333333333335,0.4998472116119175,0.6627960275019099,1.1963330786860198,0.7734912146676852,0.00802139037433155,0.0,1.0,1.0,0.0,4.097026604068858,True
session,adressa_recbole_sample,MostPop,cuda,1,2048,1024,0.74,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,adressa_recbole_sample::MostPop::{},success,,6.4,{},,,,,,,,,,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.10666666666666667,1.18875,1.7259375000000001,3.500625,0.11562499999999999,0.03125,0.0,123.0,0.5813846859238881,0.09129999999999999,1.001564945226917,False
session,adressa_recbole_sample,RecentPop,cuda,1,2048,1024,0.75,0.21,0.0,,,0.2486,0.3815,0.1459,0.1884,0.1123,0.1296,"adressa_recbole_sample::RecentPop::{""window_days"": 1}",success,,6.48,"{""window_days"": 1}",,,,,,,,,,,1.0,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.10800000000000001,1.1999999999999997,1.7444444444444442,3.532407407407407,0.11574074074074073,0.032407407407407406,0.0,110.0,0.594222833562586,0.0885,1.0140845070422537,True
session,adressa_recbole_sample,VS-KNN,cuda,1,2048,1024,1302.57,1770.67,0.0,200,250,0.2599,0.4237,0.1603,0.2132,0.128,0.1497,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",success,,3081.12,"{""vsknn_k"": 200, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,0.0,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,51.352,0.002915173703069014,0.004151737030690139,0.008250895778158593,0.42275860725969777,0.5746838811860623,0.0,47.0,0.6863823933975242,0.06839999999999999,482.17840375586854,False
session,adressa_recbole_sample,VSTAN,cuda,1,2048,1024,1185.62,1602.41,0.0,,,0.2738,0.4204,0.1749,0.2221,0.1425,0.1619,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,2795.94,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100,500,0.2,False,,,,,,,,,,0.0,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,46.599000000000004,0.003474323483336552,0.004766196699499989,0.009021652825167922,0.424050587637789,0.5731203101640235,0.0,22.0,0.7423200366804218,0.0562,437.54929577464793,False
session,globo_recbole_sample,DecayPop,cuda,1,2048,1024,1.07,0.46,0.0,,,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,"globo_recbole_sample::DecayPop::{""decay_lambda"": 5e-09}",success,,8.77,"{""decay_lambda"": 5e-09}",,,,,,,,,,,,5e-09,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.14616666666666667,0.1532497149372862,0.21619156214367163,0.42827822120866593,0.12200684150513114,0.052451539338654506,0.0,153.0,0.15003348961821836,0.12689999999999999,1.3089552238805968,False
session,globo_recbole_sample,GRU4Rec,cuda,20,2048,2048,21.3,0.26,0.0,,,0.2436,0.3614,0.1608,0.1988,0.1337,0.1493,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,27.36,"{""dropout_prob"": 0.1, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,256.0,0.001,0.1,1.0,CE,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.456,0.3274122807017543,0.4359649122807017,0.7925438596491228,0.7785087719298246,0.009502923976608188,0.0,1.0,1.0,0.0,4.083582089552238,True
session,globo_recbole_sample,MostPop,cuda,1,2048,1024,1.0,0.22,0.0,,,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,globo_recbole_sample::MostPop::{},success,,6.93,{},,,,,,,,,,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.11549999999999999,0.19393939393939394,0.27359307359307367,0.541991341991342,0.14430014430014432,0.031746031746031744,0.0,153.0,0.15003348961821836,0.12689999999999999,1.034328358208955,False
session,globo_recbole_sample,RecentPop,cuda,1,2048,1024,0.8,0.25,0.0,,,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,"globo_recbole_sample::RecentPop::{""window_days"": 90}",success,,7.13,"{""window_days"": 90}",,,,,,,,,,,90.0,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.11883333333333333,0.18849929873772792,0.2659186535764376,0.5267882187938289,0.11220196353436186,0.03506311360448808,0.0,153.0,0.15003348961821836,0.12689999999999999,1.0641791044776119,False
