experiment_type,dataset,model,mrr@10,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,hit@10,ndcg@10,coverage@10,avg_recommendation_popularity@10,runtime_seconds,runtime_minutes,runtime_relative_to_dataset_fastest,mrr@10_per_minute,train_runtime_share,eval_runtime_share,extra_metrics_runtime_share,quality_runtime_pareto_efficient
session,adressa_recbole_sample,GRU4Rec,0.2181,1.0,1.0,0.0,0.522,0.2892,,,26.18,0.43633333333333335,4.097026604068858,0.4998472116119175,0.7734912146676852,0.00802139037433155,0.0,True
session,adressa_recbole_sample,VSTAN,0.1619,22.0,0.7423200366804218,0.0562,0.4204,0.2221,,,2795.94,46.599000000000004,437.54929577464793,0.003474323483336552,0.424050587637789,0.5731203101640235,0.0,False
session,adressa_recbole_sample,VS-KNN,0.1497,47.0,0.6863823933975242,0.06839999999999999,0.4237,0.2132,,,3081.12,51.352,482.17840375586854,0.002915173703069014,0.42275860725969777,0.5746838811860623,0.0,False
session,adressa_recbole_sample,RecentPop,0.1296,110.0,0.594222833562586,0.0885,0.3815,0.1884,,,6.48,0.10800000000000001,1.0140845070422537,1.1999999999999997,0.11574074074074073,0.032407407407407406,0.0,True
session,adressa_recbole_sample,DecayPop,0.1268,123.0,0.5813846859238881,0.09129999999999999,0.3734,0.1841,,,7.94,0.13233333333333333,1.2425665101721441,0.9581863979848867,0.09445843828715365,0.02518891687657431,0.0,False
session,adressa_recbole_sample,MostPop,0.1268,123.0,0.5813846859238881,0.09129999999999999,0.3734,0.1841,,,6.4,0.10666666666666667,1.001564945226917,1.18875,0.11562499999999999,0.03125,0.0,False
session,globo_recbole_sample,GRU4Rec,0.1493,1.0,1.0,0.0,0.3614,0.1988,,,27.36,0.456,4.083582089552238,0.3274122807017543,0.7785087719298246,0.009502923976608188,0.0,True
session,globo_recbole_sample,VSTAN,0.0563,82.0,0.3770931011386471,0.09299999999999999,0.2361,0.0981,,,340.12,5.668666666666667,50.76417910447761,0.009931788780430436,0.31715276961072564,0.6601787604374926,0.0,False
session,globo_recbole_sample,VS-KNN,0.0555,86.0,0.37173476222371066,0.0938,0.2375,0.0977,,,990.2,16.503333333333334,147.7910447761194,0.0033629569783882045,0.31655221167440917,0.6759745505958392,0.0,False
session,globo_recbole_sample,DecayPop,0.0224,153.0,0.15003348961821836,0.12689999999999999,0.0626,0.0316,,,8.77,0.14616666666666667,1.3089552238805968,0.1532497149372862,0.12200684150513114,0.052451539338654506,0.0,False
session,globo_recbole_sample,MostPop,0.0224,153.0,0.15003348961821836,0.12689999999999999,0.0626,0.0316,,,6.93,0.11549999999999999,1.034328358208955,0.19393939393939394,0.14430014430014432,0.031746031746031744,0.0,False
session,globo_recbole_sample,RecentPop,0.0224,153.0,0.15003348961821836,0.12689999999999999,0.0626,0.0316,,,7.13,0.11883333333333333,1.0641791044776119,0.18849929873772792,0.11220196353436186,0.03506311360448808,0.0,False
session,yoochoose_recbole_sample,VSTAN,0.2676,35.0,0.9650198341146773,0.009699999999999986,0.4915,0.3211,,,1799.55,29.9925,272.65909090909093,0.00892223055763941,0.39747159011975214,0.5980717401572615,0.0,False
session,yoochoose_recbole_sample,VS-KNN,0.2554,88.0,0.9210241615578797,0.021899999999999975,0.4639,0.3053,,,263.49,4.3915,39.92272727272728,0.05815780485027895,0.39124824471516945,0.5790352575050286,0.0,False
session,yoochoose_recbole_sample,GRU4Rec,0.2469,114.0,0.8903714388748648,0.030399999999999983,0.4818,0.3027,,,32.13,0.5355000000000001,4.868181818181819,0.46106442577030804,0.8135698723934017,0.008714596949891068,0.0,True
session,yoochoose_recbole_sample,DecayPop,0.0084,282.0,0.030292102416155788,0.2689,0.0216,0.0115,,,8.91,0.1485,1.35,0.05656565656565656,0.1122334455667789,0.025813692480359147,0.0,True
session,yoochoose_recbole_sample,MostPop,0.008,287.0,0.0288496213487198,0.2693,0.0215,0.0112,,,7.25,0.12083333333333333,1.0984848484848486,0.06620689655172414,0.13655172413793104,0.03310344827586207,0.0,True
session,yoochoose_recbole_sample,RecentPop,0.008,287.0,0.0288496213487198,0.2693,0.0212,0.0111,,,7.26,0.121,1.1,0.06611570247933884,0.14049586776859505,0.03168044077134986,0.0,False
topn,amazon_recbole,BPR,0.0519,1.0,1.0,0.0,0.0754,0.0573,0.4662266245557267,875.0028730542084,12903.07,215.05116666666666,7.867245899640266,0.00024133791415531343,0.878811786652324,0.09691569525702023,0.022283069068058995,True
topn,amazon_recbole,DecayPop,0.01,11.0,0.1926782273603083,0.0419,0.026,0.0136,0.0001549040025473,3197.8703986068463,1670.23,27.83716666666667,1.0183708310468875,0.0003592319620651048,0.12509055639043726,0.6957245409314885,0.15650539147303064,True
topn,amazon_recbole,MostPop,0.0091,15.0,0.17533718689788055,0.042800000000000005,0.0236,0.0124,0.0001549040025473,3421.4669257370565,1663.41,27.7235,1.014212548015365,0.00032824138366367885,0.12198435743442686,0.69758508124876,0.16418080930137488,False
topn,amazon_recbole,RecentPop,0.0034,18.0,0.06551059730250482,0.0485,0.0131,0.0055,0.0001204808908701,818.4639594331145,1730.85,28.8475,1.0553319919517103,0.00011786116647889765,0.1412831845624982,0.6914983967414855,0.1504058699482913,False
topn,movielens_recbole,BPR,0.1546,1.0,1.0,0.0,0.3546,0.084,0.1837352776219854,26288.177535326697,5134.07,85.56783333333333,18.038331810835498,0.0018067537061239912,0.9643713467093359,0.01530364798298426,0.009470069554953477,True
topn,movielens_recbole,DecayPop,0.1065,11.0,0.6888745148771023,0.04809999999999999,0.251,0.0558,0.0134230697326603,47055.27381239485,423.75,7.0625,1.4888272082074345,0.015079646017699115,0.23301474926253687,0.1854395280235988,0.11181120943952803,True
topn,movielens_recbole,MostPop,0.1062,12.0,0.6869340232858991,0.048399999999999985,0.2479,0.0555,0.0138717517292951,47378.196128324176,284.62,4.743666666666667,1.0,0.02238774506359356,0.357213126273628,0.2770711826294709,0.17275665800014053,True
topn,movielens_recbole,RecentPop,0.0776,19.0,0.5019404915912031,0.07699999999999999,0.1997,0.0395,0.0051598429613011,31515.006039294403,339.24,5.654,1.1919049961351977,0.013724796604174036,0.2888220728687655,0.22579884447588724,0.13810281806390756,False
