experiment_type,dataset,model,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight,experiment_name,source_file,has_experiment_log,coverage@10,avg_recommendation_popularity@10,logged_at,embedding_size,runtime_minutes,mrr@10_per_minute,ndcg@10_per_minute,hit@10_per_minute,train_runtime_share,eval_runtime_share,extra_metrics_runtime_share,rank_by_mrr@10,relative_mrr@10_to_dataset_best,mrr@10_gap_to_dataset_best,runtime_relative_to_dataset_fastest,quality_runtime_pareto_efficient,primary_metric,primary_metric_name,primary_metric_per_runtime_second
session,adressa_recbole_sample,DecayPop,cuda,1,2048,1024,0.75,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_lambda"": 5e-09}",success,,7.94,"{""decay_lambda"": 5e-09}",,,,,,,,,,,,5e-09,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.13233333333333333,0.9581863979848867,1.3911838790931992,2.821662468513854,0.09445843828715365,0.02518891687657431,0.0,123.0,0.5813846859238881,0.09129999999999999,1.2425665101721441,False,0.1268,mrr@10,0.015969773299748108
session,adressa_recbole_sample,GRU4Rec,cuda,10,2048,2048,9.08,0.2,0.0,,,0.312,0.4794,0.2037,0.2576,0.1682,0.1903,"adressa_recbole_sample::GRU4Rec::{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,14.84,"{""dropout_prob"": 0.1, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,128.0,0.001,0.1,1.0,CE,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.24733333333333332,0.7694070080862534,1.0415094339622641,1.9382749326145554,0.6118598382749326,0.013477088948787063,0.0,7.0,0.8725355341586428,0.02779999999999999,2.322378716744914,True,0.1903,mrr@10,0.012823450134770889
session,adressa_recbole_sample,MostPop,cuda,1,2048,1024,0.74,0.2,0.0,,,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,adressa_recbole_sample::MostPop::{},success,,6.4,{},,,,,,,,,,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.10666666666666667,1.18875,1.7259375000000001,3.500625,0.11562499999999999,0.03125,0.0,123.0,0.5813846859238881,0.09129999999999999,1.001564945226917,False,0.1268,mrr@10,0.019812499999999997
session,adressa_recbole_sample,RecentPop,cuda,1,2048,1024,0.75,0.21,0.0,,,0.2486,0.3815,0.1459,0.1884,0.1123,0.1296,"adressa_recbole_sample::RecentPop::{""window_days"": 1}",success,,6.48,"{""window_days"": 1}",,,,,,,,,,,1.0,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.10800000000000001,1.1999999999999997,1.7444444444444442,3.532407407407407,0.11574074074074073,0.032407407407407406,0.0,110.0,0.594222833562586,0.0885,1.0140845070422537,True,0.1296,mrr@10,0.019999999999999997
session,adressa_recbole_sample,VS-KNN,cuda,1,2048,1024,1126.18,1529.99,0.0,100,250,0.2516,0.4118,0.1563,0.208,0.1254,0.1466,"adressa_recbole_sample::VS-KNN::{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",success,,2663.77,"{""vsknn_k"": 100, ""vsknn_popularity_weight"": 0.0, ""vsknn_sample_size"": 250}",,,,,,,,,,,,,0.0,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,44.396166666666666,0.003302086891886312,0.004685089178119732,0.00927557559398897,0.42277674123516673,0.5743701595858501,0.0,68.0,0.6721687299403943,0.07149999999999998,416.86541471048514,False,0.1466,mrr@10,5.5034781531438525e-05
session,adressa_recbole_sample,VSTAN,cuda,1,2048,1024,1174.75,1587.44,0.0,,,0.2763,0.4308,0.1741,0.224,0.1408,0.1613,"adressa_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,2770.13,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100,250,0.2,False,,,,,,,,,,0.0,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,46.16883333333333,0.0034936988516784413,0.004851757859739435,0.00933097002667745,0.42407757036673366,0.573056138159581,0.0,23.0,0.739569005043558,0.05679999999999999,433.510172143975,False,0.1613,mrr@10,5.822831419464068e-05
session,globo_recbole_sample,DecayPop,cuda,1,2048,1024,0.92,0.22,0.0,,,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,"globo_recbole_sample::DecayPop::{""decay_lambda"": 1e-08}",success,,8.57,"{""decay_lambda"": 1e-08}",,,,,,,,,,,,1e-08,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.14283333333333334,0.15682613768961493,0.22123687281213536,0.4382730455075846,0.1073512252042007,0.025670945157526253,0.0,153.0,0.15003348961821836,0.12689999999999999,1.2791044776119402,False,0.0224,mrr@10,0.002613768961493582
session,globo_recbole_sample,GRU4Rec,cuda,10,2048,2048,9.52,0.25,0.0,,,0.2091,0.3195,0.1341,0.1697,0.1096,0.1241,"globo_recbole_sample::GRU4Rec::{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",success,,15.51,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 100, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",,,,,100.0,0.001,0.2,1.0,CE,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.2585,0.48007736943907153,0.6564796905222436,1.2359767891682785,0.6137975499677627,0.016118633139909737,0.0,9.0,0.8312123241795044,0.025199999999999986,2.3149253731343284,True,0.1241,mrr@10,0.008001289490651193
session,globo_recbole_sample,MostPop,cuda,1,2048,1024,1.0,0.22,0.0,,,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,globo_recbole_sample::MostPop::{},success,,6.93,{},,,,,,,,,,,,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.11549999999999999,0.19393939393939394,0.27359307359307367,0.541991341991342,0.14430014430014432,0.031746031746031744,0.0,153.0,0.15003348961821836,0.12689999999999999,1.034328358208955,False,0.0224,mrr@10,0.0032323232323232323
session,globo_recbole_sample,RecentPop,cuda,1,2048,1024,0.9,0.3,0.0,,,0.0346,0.0626,0.0226,0.0316,0.0188,0.0224,"globo_recbole_sample::RecentPop::{""window_days"": 180}",success,,6.81,"{""window_days"": 180}",,,,,,,,,,,180.0,,,,session,F:\TimeAware Popularity Models and Fair Evaluation\recbole_results\tuning_results\session_full_tuning_results.csv,True,,,,,0.11349999999999999,0.19735682819383263,0.2784140969162996,0.5515418502202644,0.13215859030837004,0.04405286343612335,0.0,153.0,0.15003348961821836,0.12689999999999999,1.016417910447761,True,0.0224,mrr@10,0.00328928046989721
