experiment_type,dataset,model,runtime_seconds_count,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,train_runtime_seconds_count,train_runtime_seconds_mean,train_runtime_seconds_median,train_runtime_seconds_min,train_runtime_seconds_max,eval_runtime_seconds_count,eval_runtime_seconds_mean,eval_runtime_seconds_median,eval_runtime_seconds_min,eval_runtime_seconds_max,extra_metrics_runtime_seconds_count,extra_metrics_runtime_seconds_mean,extra_metrics_runtime_seconds_median,extra_metrics_runtime_seconds_min,extra_metrics_runtime_seconds_max
session,adressa_recbole_sample,GRU4Rec,36,19.7431,18.265,14.73,26.18,36,13.8367,12.19,8.86,20.25,36,0.2069,0.2,0.18,0.3,36,0.0,0.0,0.0,0.0
session,adressa_recbole_sample,VS-KNN,9,906.9689,718.44,633.24,1883.88,9,375.0567,296.7,262.15,775.01,9,524.7589,414.29,363.46,1101.72,9,0.0,0.0,0.0,0.0
session,adressa_recbole_sample,VSTAN,54,953.9565,740.855,652.84,2001.1,54,394.2178,306.005,269.95,824.39,54,552.5561,427.86,374.14,1170.42,54,0.0,0.0,0.0,0.0
session,globo_recbole_sample,GRU4Rec,36,21.0381,21.255,15.33,27.56,36,15.1283,15.345,9.52,21.6,36,0.2617,0.25,0.24,0.33,36,0.0,0.0,0.0,0.0
session,globo_recbole_sample,VS-KNN,9,288.5133,198.75,157.34,738.02,9,90.5567,61.81,48.85,234.19,9,190.9489,129.74,101.52,496.87,9,0.0,0.0,0.0,0.0
session,globo_recbole_sample,VSTAN,54,309.2576,209.845,166.07,791.81,54,97.1654,65.19,51.38,251.47,54,205.0585,138.305,107.74,533.49,54,0.0,0.0,0.0,0.0
session,yoochoose_recbole_sample,GRU4Rec,36,24.3256,24.75,17.45,32.21,36,18.3744,18.675,11.7,26.21,36,0.2722,0.27,0.25,0.35,36,0.0,0.0,0.0,0.0
session,yoochoose_recbole_sample,VS-KNN,9,586.8289,422.32,252.3,1557.31,9,230.52,164.05,96.74,616.91,9,348.44,250.4,147.36,932.83,9,0.0,0.0,0.0,0.0
session,yoochoose_recbole_sample,VSTAN,54,629.0265,447.64,285.74,1645.69,54,247.1635,174.115,111.16,652.31,54,374.2315,265.64,166.75,985.92,54,0.0,0.0,0.0,0.0
topn,amazon_recbole,BPR,10,10463.069,12617.375,3480.35,14252.72,10,8929.331,11090.545,2037.39,12695.24,10,1232.713,1240.205,1149.46,1269.13,10,275.503,273.415,265.55,287.52
topn,amazon_recbole,DecayPop,8,1693.0888,1685.36,1641.1,1745.39,8,218.5038,217.225,196.76,244.52,8,1175.5425,1170.52,1141.47,1209.39,8,260.8787,260.425,259.06,263.47
topn,amazon_recbole,MostPop,2,1662.835,1662.835,1662.26,1663.41,2,200.905,200.905,198.9,202.91,2,1162.23,1162.23,1160.37,1164.09,2,273.31,273.31,273.1,273.52
topn,amazon_recbole,RecentPop,9,1676.65,1667.55,1640.1,1730.85,9,212.0389,209.97,196.78,244.54,9,1174.4456,1170.59,1153.26,1196.88,9,260.3089,260.2,259.44,262.0
topn,movielens_recbole,BPR,10,4275.174,4804.09,1188.86,5556.69,10,4089.893,4621.22,1001.65,5369.1,10,81.085,80.71,78.57,88.33,10,48.902,48.735,48.53,49.69
topn,movielens_recbole,DecayPop,8,449.2125,428.865,417.4,494.55,8,99.9112,98.97,97.77,107.66,8,77.2312,76.31,75.13,84.06,8,47.2475,47.155,46.87,47.96
topn,movielens_recbole,MostPop,2,292.535,292.535,284.62,300.45,2,105.135,105.135,101.67,108.6,2,81.265,81.265,78.86,83.67,2,50.45,50.45,49.17,51.73
topn,movielens_recbole,RecentPop,9,337.9622,338.47,330.6,351.84,9,99.87,99.66,97.05,107.96,9,76.9322,75.93,75.04,82.62,9,47.0944,46.88,46.82,48.2
