experiment_type,dataset,model,runs,unique_configurations,decay_lambda,learning_rate,hidden_size,dropout_prob,num_layers,loss_type,window_days,vsknn_k,vsknn_sample_size,vsknn_popularity_weight,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,vstan_popularity_weight,embedding_size,train_neg_sample_args
session,adressa_recbole_sample,DecayPop,7,7,"1e-06, 1e-07, 1e-08, 1e-09, 5e-07, 5e-08, 5e-09",,,,,,,,,,,,,,,,
session,adressa_recbole_sample,GRU4Rec,36,36,,"0.0001, 0.0005, 0.001","100.0, 128.0, 256.0","0.1, 0.2",1.0,CE,,,,,,,,,,,
session,adressa_recbole_sample,MostPop,1,1,,,,,,,,,,,,,,,,,
session,adressa_recbole_sample,RecentPop,8,8,,,,,,,"1.0, 14.0, 180.0, 3.0, 30.0, 60.0, 7.0, 90.0",,,,,,,,,,
session,adressa_recbole_sample,VS-KNN,27,27,,,,,,,,"100, 200, 500","100, 250, 500","0.0, 0.5, 1.0",,,,,,,
session,adressa_recbole_sample,VSTAN,86,86,,,,,,,,,,,"100, 200","100, 250, 500","0.05, 0.1, 0.2","False, True","0.0, 0.5, 1.0",,
session,globo_recbole_sample,DecayPop,7,7,"1e-06, 1e-07, 1e-08, 1e-09, 5e-07, 5e-08, 5e-09",,,,,,,,,,,,,,,,
session,globo_recbole_sample,GRU4Rec,36,36,,"0.0001, 0.0005, 0.001","100.0, 128.0, 256.0","0.1, 0.2",1.0,CE,,,,,,,,,,,
session,globo_recbole_sample,MostPop,1,1,,,,,,,,,,,,,,,,,
session,globo_recbole_sample,RecentPop,8,8,,,,,,,"1.0, 14.0, 180.0, 3.0, 30.0, 60.0, 7.0, 90.0",,,,,,,,,,
session,globo_recbole_sample,VS-KNN,27,27,,,,,,,,"100, 200, 500","100, 250, 500","0.0, 0.5, 1.0",,,,,,,
session,globo_recbole_sample,VSTAN,162,162,,,,,,,,,,,"100, 200, 500","100, 250, 500","0.05, 0.1, 0.2","False, True","0.0, 0.5, 1.0",,
session,yoochoose_recbole_sample,DecayPop,7,7,"1e-06, 1e-07, 1e-08, 1e-09, 5e-07, 5e-08, 5e-09",,,,,,,,,,,,,,,,
session,yoochoose_recbole_sample,GRU4Rec,36,36,,"0.0001, 0.0005, 0.001","100.0, 128.0, 256.0","0.1, 0.2",1.0,CE,,,,,,,,,,,
session,yoochoose_recbole_sample,MostPop,1,1,,,,,,,,,,,,,,,,,
session,yoochoose_recbole_sample,RecentPop,8,8,,,,,,,"1.0, 14.0, 180.0, 3.0, 30.0, 60.0, 7.0, 90.0",,,,,,,,,,
session,yoochoose_recbole_sample,VS-KNN,27,27,,,,,,,,"100, 200, 500","100, 250, 500","0.0, 0.5, 1.0",,,,,,,
session,yoochoose_recbole_sample,VSTAN,162,162,,,,,,,,,,,"100, 200, 500","100, 250, 500","0.05, 0.1, 0.2","False, True","0.0, 0.5, 1.0",,
topn,amazon_recbole,BPR,10,10,,"0.0001, 0.0005, 0.001",,,,,,,,,,,,,,"128.0, 32.0, 64.0","{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}"
topn,amazon_recbole,DecayPop,8,7,"1e-06, 1e-07, 1e-08, 1e-09, 5e-07, 5e-08, 5e-09",,,,,,,,,,,,,,,,
topn,amazon_recbole,MostPop,2,1,,,,,,,,,,,,,,,,,
topn,amazon_recbole,RecentPop,9,8,,,,,,,"1.0, 14.0, 180.0, 3.0, 30.0, 60.0, 7.0, 90.0",,,,,,,,,,
topn,movielens_recbole,BPR,10,10,,"0.0001, 0.0005, 0.001",,,,,,,,,,,,,,"128.0, 32.0, 64.0","{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}"
topn,movielens_recbole,DecayPop,8,7,"1e-06, 1e-07, 1e-08, 1e-09, 5e-07, 5e-08, 5e-09",,,,,,,,,,,,,,,,
topn,movielens_recbole,MostPop,2,1,,,,,,,,,,,,,,,,,
topn,movielens_recbole,RecentPop,9,8,,,,,,,"1.0, 14.0, 180.0, 3.0, 30.0, 60.0, 7.0, 90.0",,,,,,,,,,
