model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,status,error_message,runtime_seconds,config_json,logged_at,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,60.83,88.96,89.49,50.0,250.0,0.3949,0.4841,0.2849,0.3139,0.2485,0.2606,0.7493699369936994,109.118142007695,success,,248.38,"{""vsknn_k"": 50, ""vsknn_sample_size"": 250}",2026-05-19T22:42:59,,,,,,,,,,
VS-KNN,yoochoose_recbole_sample,cuda,1,2048,1024,105.83,154.37,154.71,100.0,250.0,0.3982,0.4958,0.2863,0.318,0.2493,0.2624,0.7048604860486049,111.2359034627492,success,,422.8,"{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",2026-05-19T22:50:02,,,,,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,68.61,103.25,102.96,,,0.4063,0.4999,0.292,0.3224,0.2541,0.2668,0.8365436543654365,91.94593913955929,success,,282.82,"{""vstan_idf_weighting"": true, ""vstan_k"": 50, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-19T22:54:45,50.0,250.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,66.38,98.24,99.68,,,0.4039,0.4963,0.2909,0.321,0.2535,0.266,0.7734023402340234,105.94253095487933,success,,272.57,"{""vstan_idf_weighting"": false, ""vstan_k"": 50, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-19T22:59:18,50.0,250.0,0.1,False,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,121.76,180.8,181.62,,,0.4138,0.5144,0.2956,0.3283,0.2564,0.2701,0.7868136813681368,99.95344246239944,success,,492.36,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-19T23:07:30,100.0,250.0,0.1,True,,,,,,
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,117.41,175.75,175.72,,,0.407,0.5083,0.2918,0.3247,0.2537,0.2673,0.7262826282628263,110.37645050717033,success,,476.86,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",2026-05-19T23:15:27,100.0,250.0,0.1,False,,,,,,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,33.1,0.65,1.8,,,0.2094,0.2963,0.1403,0.1684,0.1176,0.1292,0.18888388838883888,140.48202448408534,success,,41.48,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-19T23:16:08,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,65.4,0.67,1.99,,,0.3608,0.4645,0.2541,0.2878,0.2189,0.2329,0.6034653465346534,106.13982091640433,success,,73.91,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 128, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-19T23:17:22,,,,,128.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,10,2048,2048,39.49,0.73,1.93,,,0.2251,0.3173,0.1509,0.1808,0.1266,0.139,0.27335733573357335,131.31608534452604,success,,48.02,"{""dropout_prob"": 0.2, ""epochs"": 10, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-19T23:18:10,,,,,256.0,0.001,0.2,1.0,CE,
GRU4Rec,yoochoose_recbole_sample,cuda,20,2048,2048,78.83,0.64,1.71,,,0.3765,0.4804,0.267,0.3008,0.2308,0.2448,0.6671467146714671,102.49089052116125,success,,86.98,"{""dropout_prob"": 0.2, ""epochs"": 20, ""eval_batch_size"": 2048, ""hidden_size"": 256, ""learning_rate"": 0.001, ""loss_type"": ""CE"", ""model"": ""GRU4Rec"", ""num_layers"": 1, ""train_batch_size"": 2048, ""train_neg_sample_args"": null}",2026-05-19T23:19:37,,,,,256.0,0.001,0.2,1.0,CE,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,34.78,70.69,71.51,50.0,250.0,0.1696,0.3152,0.0775,0.1246,0.048,0.0675,0.519832653709686,515.818322698268,success,,184.26,"{""vsknn_k"": 50, ""vsknn_sample_size"": 250}",2026-05-19T23:22:42,,,,,,,,,,
VS-KNN,globo_recbole_sample,cuda,1,2048,1024,51.5,107.84,107.38,100.0,250.0,0.1824,0.3424,0.0837,0.1355,0.0521,0.0735,0.46740454376952817,546.8867878304467,success,,273.95,"{""vsknn_k"": 100, ""vsknn_sample_size"": 250}",2026-05-19T23:27:16,,,,,,,,,,
