model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,coverage@10,avg_recommendation_popularity@10,status,error_message,runtime_seconds,config_json,logged_at,window_days,decay_lambda,embedding_size,learning_rate,train_neg_sample_args,run_id
MostPop,movielens_recbole,cuda,1,2048,2048,108.6,83.67,51.73,0.1675,0.2445,0.0527,0.0554,0.0945,0.1048,0.013890968998053,47081.19480984598,success,,300.45,{},2026-05-23T14:14:42,,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,107.96,82.62,48.2,0.0977,0.1632,0.0312,0.0331,0.0626,0.0707,0.0046802456192901,22276.697377484783,success,,351.84,"{""window_days"": 1}",2026-05-23T14:20:34,1.0,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,108.36,83.63,47.99,0.115,0.1958,0.0348,0.0395,0.0664,0.0771,0.0056911786730567,29830.348777194515,success,,350.82,"{""window_days"": 3}",2026-05-23T14:26:25,3.0,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,106.38,83.94,48.13,0.1101,0.1914,0.0325,0.0377,0.0628,0.0734,0.0052044331286505,28831.849634277543,success,,353.94,"{""window_days"": 7}",2026-05-23T14:32:19,7.0,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,106.52,82.52,48.21,0.1164,0.1956,0.0336,0.0382,0.062,0.0723,0.0049797813389246,31276.081721819875,success,,349.71,"{""window_days"": 14}",2026-05-23T14:38:08,14.0,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,108.59,82.59,48.19,0.1184,0.1957,0.0353,0.0394,0.0663,0.0762,0.0052418750936049,30862.868858353853,success,,360.65,"{""window_days"": 30}",2026-05-23T14:44:09,30.0,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,106.91,81.39,48.5,0.1176,0.1954,0.0345,0.0387,0.0621,0.0719,0.0053167590235135,31472.09439394049,success,,347.22,"{""window_days"": 60}",2026-05-23T14:49:56,60.0,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,110.66,82.55,48.27,0.1182,0.1981,0.0346,0.0392,0.0623,0.0724,0.0058783884978283,31746.725857624573,success,,361.02,"{""window_days"": 90}",2026-05-23T14:55:57,90.0,,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,107.66,84.06,47.96,0.1398,0.2244,0.0425,0.0474,0.079,0.0901,0.0095477010633518,36361.41783844671,success,,433.98,"{""decay_lambda"": 1e-08}",2026-05-23T15:03:11,,1e-08,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,108.13,86.98,47.58,0.1243,0.2121,0.0372,0.0431,0.0677,0.0789,0.0063276920772802,33135.00929216639,success,,436.36,"{""decay_lambda"": 5e-08}",2026-05-23T15:10:28,,5e-08,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,101.13,79.5,47.27,0.1216,0.2076,0.0366,0.0419,0.067,0.0779,0.0061030402875542,32402.63218935253,success,,422.08,"{""decay_lambda"": 1e-07}",2026-05-23T15:17:30,,1e-07,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,99.43,75.08,47.93,0.1186,0.1962,0.0345,0.0387,0.0626,0.0724,0.0052418750936049,31227.92242351599,success,,415.43,"{""decay_lambda"": 5e-07}",2026-05-23T15:24:25,,5e-07,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,98.71,79.0,47.38,0.1176,0.1944,0.034,0.0382,0.0622,0.072,0.0052044331286505,30543.154524777427,success,,419.55,"{""decay_lambda"": 1e-06}",2026-05-23T15:31:25,,1e-06,,,,
BPR,movielens_recbole,cuda,10,2048,2048,1001.65,80.55,49.44,0.2219,0.3274,0.0699,0.0746,0.1259,0.1398,0.1163321851130747,33411.6090712166,success,,1188.86,"{""embedding_size"": 32, ""epochs"": 10, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T15:51:14,,,32.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,20,2048,2048,2019.27,79.96,49.58,0.2376,0.3495,0.0762,0.0821,0.1348,0.1496,0.1685262842593979,28275.439575285392,success,,2207.73,"{""embedding_size"": 32, ""epochs"": 20, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T16:28:01,,,32.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,50,2048,2048,5029.85,80.84,49.18,0.2312,0.3454,0.0729,0.0794,0.1298,0.1449,0.2574509510259098,20711.822507274737,success,,5216.64,"{""embedding_size"": 32, ""epochs"": 50, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T17:54:58,,,32.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,10,2048,2048,998.04,78.44,49.21,0.1969,0.2882,0.0619,0.0649,0.1104,0.1225,0.0622285457540811,41664.14464846599,success,,1184.13,"{""embedding_size"": 32, ""epochs"": 10, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T18:14:42,,,32.0,0.0005,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,20,2048,2048,1988.51,80.05,48.64,0.2192,0.3269,0.0699,0.075,0.1247,0.1389,0.1124382207578253,33591.30921562823,success,,2173.79,"{""embedding_size"": 32, ""epochs"": 20, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T18:50:56,,,32.0,0.0005,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,50,2048,2048,4958.98,80.63,48.66,0.2419,0.3561,0.0789,0.0849,0.1386,0.1537,0.1801332933952373,26191.896010628698,success,,5146.76,"{""embedding_size"": 32, ""epochs"": 50, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T20:16:43,,,32.0,0.0005,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,10,2048,2048,1007.05,79.55,49.01,0.1678,0.2485,0.0532,0.0562,0.0948,0.1056,0.014939344016774,46779.05052313113,success,,1191.99,"{""embedding_size"": 32, ""epochs"": 10, ""learning_rate"": 0.0001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T20:36:35,,,32.0,0.0001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,20,2048,2048,1991.29,80.91,48.64,0.1714,0.2494,0.0542,0.0565,0.0965,0.1068,0.0220533173580949,46549.24422245168,success,,2179.37,"{""embedding_size"": 32, ""epochs"": 20, ""learning_rate"": 0.0001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T21:12:54,,,32.0,0.0001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,50,2048,2048,4967.8,78.12,48.73,0.198,0.2919,0.0621,0.0658,0.1108,0.1232,0.0618541261045379,42062.27278418404,success,,5151.06,"{""embedding_size"": 32, ""epochs"": 50, ""learning_rate"": 0.0001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T22:38:45,,,32.0,0.0001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,10,2048,2048,995.77,78.45,48.74,0.2265,0.3377,0.0711,0.0773,0.1261,0.1408,0.1465478508312116,28746.62199822373,success,,1181.57,"{""embedding_size"": 64, ""epochs"": 10, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T22:58:27,,,64.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,20,2048,2048,1995.59,78.7,48.87,0.2318,0.3456,0.0728,0.0792,0.1294,0.1444,0.2048824322300434,23815.36591163452,success,,2179.57,"{""embedding_size"": 64, ""epochs"": 20, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-23T23:34:46,,,64.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,50,2048,2048,4592.28,80.64,48.88,0.2242,0.3379,0.069,0.0757,0.1239,0.1389,0.2925340721881084,18278.13100806539,success,,4779.94,"{""embedding_size"": 64, ""epochs"": 50, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-24T00:54:26,,,64.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,10,2048,2048,1004.32,78.69,49.04,0.2117,0.3122,0.0673,0.0716,0.1194,0.1327,0.0943163097199341,37262.56083123335,success,,1188.74,"{""embedding_size"": 64, ""epochs"": 10, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-24T01:14:15,,,64.0,0.0005,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
BPR,movielens_recbole,cuda,20,2048,2048,1994.68,79.99,48.81,0.2307,0.3407,0.0742,0.0795,0.1312,0.1457,0.1429534221955968,30252.498976121537,success,,2182.82,"{""embedding_size"": 64, ""epochs"": 20, ""learning_rate"": 0.0005, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-24T01:50:38,,,64.0,0.0005,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}",
