model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,status,error_message,runtime_seconds,config_json,logged_at,window_days,decay_lambda,embedding_size,learning_rate,train_neg_sample_args
MostPop,movielens_recbole,cuda,1,2048,2048,194.85,194.86,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0001,success,,453.45,{},2026-05-20T08:22:04,,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,231.21,181.52,0.0,0.1101,0.1914,0.0325,0.0377,0.0628,0.0734,success,,618.47,"{""window_days"": 7}",2026-05-20T08:32:22,7.0,,,,
RecentPop,movielens_recbole,cuda,1,2048,2048,222.18,143.46,0.0,0.1184,0.1957,0.0353,0.0394,0.0663,0.0762,success,,567.95,"{""window_days"": 30}",2026-05-20T08:41:50,30.0,,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,184.98,152.72,0.0,0.1216,0.2076,0.0366,0.0419,0.067,0.0779,success,,702.7,"{""decay_lambda"": 1e-07}",2026-05-20T08:53:33,,1e-07,,,
DecayPop,movielens_recbole,cuda,1,2048,2048,189.78,149.41,0.0,0.1176,0.1944,0.034,0.0382,0.0622,0.072,success,,657.12,"{""decay_lambda"": 1e-06}",2026-05-20T09:04:30,,1e-06,,,
BPR,movielens_recbole,cuda,10,2048,2048,1991.22,164.81,0.0,0.2245,0.334,0.071,0.0763,0.1267,0.1411,success,,2232.99,"{""embedding_size"": 64, ""epochs"": 10, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",2026-05-20T09:41:43,,,64.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}"
MostPop,amazon_recbole,cuda,1,2048,2048,663.54,3243.16,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,success,,3944.25,{},2026-05-20T10:47:28,,,,,
RecentPop,amazon_recbole,cuda,1,2048,2048,731.11,3370.07,0.0,0.0007,0.0023,0.0003,0.0009,0.0002,0.0005,success,,4136.72,"{""window_days"": 7}",2026-05-20T11:56:24,7.0,,,,
RecentPop,amazon_recbole,cuda,1,2048,2048,645.92,3075.42,0.0,0.0023,0.0046,0.0012,0.002,0.0009,0.0012,success,,3762.9,"{""window_days"": 30}",2026-05-20T12:59:07,30.0,,,,
DecayPop,amazon_recbole,cuda,1,2048,2048,864.32,3314.24,0.0,0.0064,0.01,0.0034,0.0046,0.0025,0.003,success,,4229.62,"{""decay_lambda"": 1e-07}",2026-05-20T14:09:37,,1e-07,,,
DecayPop,amazon_recbole,cuda,1,2048,2048,730.77,3630.47,0.0,0.0008,0.0011,0.0005,0.0006,0.0005,0.0005,success,,4418.05,"{""decay_lambda"": 1e-06}",2026-05-20T15:23:15,,1e-06,,,
BPR,amazon_recbole,cuda,10,2048,2048,6523.31,3094.81,0.0,0.0332,0.0465,0.0246,0.0288,0.0219,0.0236,success,,9647.25,"{""embedding_size"": 64, ""epochs"": 10, ""learning_rate"": 0.001, ""train_neg_sample_args"": {""alpha"": 1.0, ""candidate_num"": 0, ""distribution"": ""uniform"", ""dynamic"": false, ""sample_num"": 1}}",,,,64.0,0.001,"{'distribution': 'uniform', 'sample_num': 1, 'alpha': 1.0, 'dynamic': False, 'candidate_num': 0}"
