model,dataset,seed,device,neighbor_size,sample_size,sampling,similarity,session_weighting,score_weighting,reference_sessions,runtime_seconds,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,source,error,logged_at
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,500,recent,vec,div,div,126496.0,134.9,0.4399,0.5387,0.3148,0.347,0.2733,0.2867,yoochoose_recbole_sample::36fcdbf67935,success,validated_baseline,,2026-07-17T13:47:23
VSKNN-audited,globo_recbole_sample,42,cpu,100,500,recent,vec,div,div,175715.0,121.94,0.1627,0.2916,0.0796,0.1211,0.0526,0.0697,globo_recbole_sample::36fcdbf67935,success,validated_baseline,,2026-07-17T13:47:23
VSKNN-audited,adressa_recbole_sample,42,cpu,100,500,recent,vec,div,div,98032.0,147.53,0.2749,0.4276,0.1767,0.2259,0.1448,0.165,adressa_recbole_sample::36fcdbf67935,success,validated_baseline,,2026-07-17T13:47:23
VSKNN-audited,yoochoose_recbole_sample,42,cpu,200,500,recent,vec,div,div,,227.08,0.4397,0.5418,0.3141,0.3474,0.2725,0.2863,yoochoose_recbole_sample::e0f1f7c33df0,success,compact_tuning,,2026-07-17T13:51:19
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,250,recent,vec,div,div,,152.86,0.4279,0.5197,0.3081,0.338,0.2683,0.2807,yoochoose_recbole_sample::c6d468909f2c,success,compact_tuning,,2026-07-17T13:53:52
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,1000,recent,vec,div,div,,224.67,0.4418,0.5423,0.3155,0.3482,0.2736,0.2873,yoochoose_recbole_sample::f243e650f371,success,compact_tuning,,2026-07-17T13:57:37
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,500,recent,cosine,div,div,,178.65,0.4422,0.5395,0.3158,0.3475,0.2738,0.2871,yoochoose_recbole_sample::3b292d6cecc2,success,compact_tuning,,2026-07-17T14:00:36
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,500,recent,vec,same,div,,190.34,0.4244,0.5215,0.304,0.3356,0.2641,0.2773,yoochoose_recbole_sample::0bf6d0a169ac,success,compact_tuning,,2026-07-17T14:03:46
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,500,recent,vec,quadratic,div,,193.75,0.4396,0.5367,0.3147,0.3463,0.2732,0.2864,yoochoose_recbole_sample::8ce2899e63d8,success,compact_tuning,,2026-07-17T14:07:00
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,500,recent,vec,div,same,,193.17,0.4316,0.5315,0.3084,0.3409,0.2675,0.2811,yoochoose_recbole_sample::6471e4591a12,success,compact_tuning,,2026-07-17T14:10:13
VSKNN-audited,yoochoose_recbole_sample,42,cpu,100,500,recent,vec,div,quadratic,,190.56,0.4417,0.5377,0.3165,0.3478,0.275,0.288,yoochoose_recbole_sample::7b5a13f5d310,success,compact_tuning,,2026-07-17T14:13:24
VSKNN-audited,globo_recbole_sample,42,cpu,200,500,recent,vec,div,div,,136.84,0.1626,0.2865,0.08,0.1199,0.0531,0.0694,globo_recbole_sample::e0f1f7c33df0,success,compact_tuning,,2026-07-17T14:15:49
VSKNN-audited,globo_recbole_sample,42,cpu,100,250,recent,vec,div,div,,69.91,0.1377,0.2438,0.068,0.1021,0.0453,0.0592,globo_recbole_sample::c6d468909f2c,success,compact_tuning,,2026-07-17T14:16:59
VSKNN-audited,globo_recbole_sample,42,cpu,100,1000,recent,vec,div,div,,143.85,0.1833,0.3298,0.0867,0.1341,0.0555,0.0751,globo_recbole_sample::f243e650f371,success,compact_tuning,,2026-07-17T14:19:23
VSKNN-audited,globo_recbole_sample,42,cpu,100,500,recent,cosine,div,div,,102.76,0.1545,0.2762,0.0758,0.1151,0.0502,0.0664,globo_recbole_sample::3b292d6cecc2,success,compact_tuning,,2026-07-17T14:21:06
VSKNN-audited,globo_recbole_sample,42,cpu,100,500,recent,vec,same,div,,98.87,0.153,0.283,0.0718,0.1137,0.0457,0.0629,globo_recbole_sample::0bf6d0a169ac,success,compact_tuning,,2026-07-17T14:22:44
VSKNN-audited,globo_recbole_sample,42,cpu,100,500,recent,vec,quadratic,div,,97.65,0.1665,0.2914,0.082,0.1222,0.0545,0.071,globo_recbole_sample::8ce2899e63d8,success,compact_tuning,,2026-07-17T14:24:22
VSKNN-audited,globo_recbole_sample,42,cpu,100,500,recent,vec,div,same,,98.35,0.1605,0.2898,0.0784,0.12,0.0518,0.0688,globo_recbole_sample::6471e4591a12,success,compact_tuning,,2026-07-17T14:26:00
